Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,38.73mm,26.04mm,270,B,100n
C10,33.66mm,36.2mm,0,B,10u
C11,33.66mm,34.29mm,0,B,220p COG
C12,29.85mm,36.2mm,180,B,10u
C13,29.85mm,34.29mm,180,B,220p COG
C14,46.36mm,35.88mm,0,B,3.3u
C15,48.9mm,38.73mm,270,B,2700p COG
C16,42.55mm,35.88mm,180,B,3.3u
C17,40.01mm,38.73mm,270,B,2700p COG
C2,40.64mm,26.04mm,270,B,10u
C3,38.1mm,16.83mm,0,B,10n
C35,69.22mm,37.47mm,90,B,10n
C36,59.69mm,37.47mm,90,B,10n
C38,59.05mm,-8.89mm,270,B,10n
C39,68.58mm,-8.89mm,270,B,10n
C4,28.58mm,29.85mm,90,B,100n
C41,38.73mm,-8.89mm,270,B,10n
C42,48.26mm,-8.89mm,270,B,10n
C43,45.4mm,27.94mm,270,B,10u
C44,53.98mm,37.47mm,90,B,10n
C45,19.05mm,-16.51mm,0,B,10n
C46,34.29mm,-16.51mm,0,B,10n
C47,43.5mm,29.85mm,90,B,100n
C5,26.67mm,29.85mm,90,B,10u
C6,28.58mm,26.04mm,270,B,100n
C63,51.44mm,28.26mm,270,B,100n
C7,26.67mm,25.4mm,270,B,47u
C8,38.73mm,29.85mm,90,B,100n
C88,48.58mm,25.4mm,180,B,10n
C9,40.64mm,30.48mm,90,B,47u
J3,74.3mm,22.23mm,90,B, ISP-ROW
L3,48.58mm,31.12mm,180,B, FERRITE
Q1,38.1mm,20.32mm,0,B,ASFL-12.288mhz
R1,41.91mm,20.32mm,270,B,10k
R10,28.89mm,38.73mm,90,B,10k
R11,46.36mm,37.78mm,180,B,10k
R12,46.36mm,39.37mm,180,B,590
R13,42.55mm,37.78mm,0,B,10k
R14,42.55mm,39.37mm,0,B,590
R15,23.5mm,28.58mm,270,B,10k
R2,63.5mm,37.47mm,270,B,10k
R26,61.6mm,37.47mm,270,B,10k
R28,67.31mm,37.47mm,270,B,10k
R29,65.41mm,37.47mm,270,B,10k
R3,64.77mm,-8.89mm,90,B,10k
R32,66.67mm,-8.89mm,90,B,10k
R34,60.96mm,-8.89mm,90,B,10k
R35,62.87mm,-8.89mm,90,B,10k
R38,46.36mm,-8.89mm,90,B,10k
R4,44.45mm,-8.89mm,90,B,10k
R40,40.64mm,-8.89mm,90,B,10k
R41,42.55mm,-8.89mm,90,B,10k
R44,57.79mm,37.47mm,90,B,10k
R45,55.88mm,37.47mm,270,B,10k
R46,19.05mm,-12.7mm,0,B,10k
R47,19.05mm,-14.61mm,180,B,10k
R48,34.29mm,-12.7mm,0,B,10k
R49,34.29mm,-14.61mm,180,B,10k
R7,34.61mm,38.73mm,90,B,4.99k
R8,33.02mm,38.73mm,90,B,10k
R9,30.48mm,38.73mm,90,B,4.99k
U1,33.66mm,27.94mm,0,B,CS4270
U11,48.58mm,27.94mm,270,B,TPS793
