型号,封装,位号,元件编号
22pF0402,0402,"C19,C20",C1555
AD5687RBRUZ-RL7,TSSOP16,"U3,U4",C650116
2kΩ0402,0402,"R5,R16",C4109
BAS70-04-TP,SOT23,"D2,D3,D4,D5,D6,D7,D8,D9,U6,U44",C779200
19-213/Y2C-CQ2R2L/3T(CY),CHIP-LED0805,"LED1,LED2,LED3,LED4",C72038
4.7uF0603,0603,"C49,C51",C19666
0Ω0402,0402,"R41,R42,R48",C17168
TPS2021DR,SO08,U1,C2149997
AD7923BRUZ-REEL7,TSSOP16,U7,C652038
470pF0402,0402,C11,C1537
745C101473JP,NR35,RN1,C1731126
220uF7343-4310TPE220ML,7343-43,C2,C147767
OPA4171AIDR,SO14,IC4,C46269
19-217/T1D-CQ2R2TY/3T,CHIP-LED0805,"LED5,LED6,LED7,LED8",C83955
0Ω0603,0603,R45,C21189
2.7nF0402,0402,"C8,C13,C14,C15",C84704
20kΩ0402,0402,"R37,R38,R46,R47,R52,R53,R66,R67",C25765
10kΩ0402,0402,"R6,R7,R9,R11,R12,R13,R18,R22,R26,R28,R31,R33,R35,R39",C25744
10kΩ0402,0402,"R4,R40",C25744
4.7uF1206,1206,C5,C29823
AT32UC3B0512-A2UT,TQFP64-10X10,U2,C619142
2.2uF0603,0603,"C9,C48,C55",C23630
30kΩ0402,0402,"R15,R19,R23,R24,R25,R27,R30,R32,R34,R36,R56,R58,R60",C138008
33nF0402,0402,C33,C1585
33nF0402,0402,"C10,C12,C16,C17,C45,C52,C53,C54",C1585
X49SM12MSB2SI,HC49UP,Y1,C188206
39Ω0402,0402,"R43,R44",C25110
47kΩ0402,0402,"R1,R2",C25792
1kΩ0402,0402,"R3,R8,R10,R14,R17,R21,R29,R51",C11702
100nF0402,0402,"C1,C3,C7,C18,C26,C27,C29,C30,C31,C41,C42,C46,C47,C50,C56,C59",C1525
100nF0402,0402,"C21,C22,C23,C32",C1525
1nF0402,0402,"C34,C35,C36,C37,C38,C39,C43,C57,C58",C1523
31k6Ω0402,0402,R20,C11463
10uF1206,1206,"C4,C6,C24,C25,C28,C44,C60",C13585
ADP3339AKCZ-3.3-R7,SOT223,U40,C207468
TL074CDR,SO14,IC1,C12594
0.75A16V自恢复保险丝,F1206,"PF1,PF2",C70080
