Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,71.12mm,26.04mm,270,T,100n
C10,47.31mm,11.11mm,90,T,33n
C11,47.63mm,29.85mm,270,T,470p
C12,44.45mm,29.85mm,270,T,33n
C13,41.27mm,29.85mm,270,T,2.7n
C14,42.55mm,11.11mm,90,T,2.7n
C15,40.96mm,11.11mm,90,T,2.7n
C16,38.1mm,29.85mm,270,T,33n
C17,36.2mm,13.97mm,90,T,33n
C18,34.61mm,13.97mm,90,T,100n
C19,33.66mm,18.41mm,270,T,22p
C2,5.71mm,19.05mm,270,T,220u
C20,33.66mm,22.23mm,90,T,22p
C21,24.77mm,76.2mm,0,T,100n
C22,13.34mm,76.2mm,0,T,100n
C23,31.12mm,63.5mm,0,T,100n
C24,46.99mm,45.4mm,270,T,10u
C25,75.56mm,40.64mm,0,T,10u
C26,49.21mm,45.4mm,270,T,100n
C27,75.56mm,43.18mm,0,T,100n
C28,36.51mm,45.4mm,270,T,10u
C29,75.56mm,50.8mm,0,T,100n
C3,71.12mm,32.07mm,90,T,100n
C30,38.73mm,45.4mm,270,T,100n
C31,30.48mm,4.76mm,270,T,100n
C32,19.69mm,63.5mm,0,T,100n
C33,75.56mm,85.73mm,90,T,33n
C34,66.99mm,106.68mm,180,T,1n
C35,20.32mm,93.34mm,180,T,1n
C36,26.99mm,106.68mm,180,T,1n
C37,13.65mm,106.68mm,180,T,1n
C38,33.66mm,93.34mm,180,T,1n
C39,40.32mm,106.68mm,180,T,1n
C4,73.66mm,26.35mm,90,T,10u
C41,10.79mm,17.14mm,90,T,100n
C42,61.6mm,24.45mm,0,T,100n
C43,46.99mm,93.34mm,180,T,1n
C44,61.91mm,36.51mm,180,T,10u
C45,51.75mm,19.37mm,180,T,33n
C46,51.75mm,17.78mm,180,T,100n
C47,45.72mm,11.11mm,90,T,100n
C48,49.21mm,29.85mm,270,T,2.2u
C49,48.9mm,11.11mm,90,T,4.7u
C5,12.7mm,12.07mm,270,T,4.7u
C50,46.04mm,29.85mm,270,T,100n
C51,42.86mm,29.85mm,270,T,4.7u
C52,44.13mm,11.11mm,90,T,33n
C53,39.69mm,29.85mm,270,T,33n
C54,39.37mm,11.11mm,90,T,33n
C55,37.78mm,11.11mm,90,T,2.2u
C56,36.51mm,29.85mm,270,T,100n
C57,53.66mm,106.68mm,180,T,1n
C58,60.33mm,93.34mm,180,T,1n
C59,54.61mm,8.89mm,270,T,100n
C6,73.66mm,32.38mm,90,T,10u
C60,52.71mm,8.89mm,270,T,10u
C7,10.79mm,8.26mm,0,T,100n
C8,51.75mm,20.96mm,180,T,2.7n
C9,51.75mm,22.54mm,180,T,2.2u
D2,20.32mm,90.17mm,0,T,BAS70-04
D3,13.65mm,103.51mm,0,T,BAS70-04
D4,26.99mm,103.51mm,0,T,BAS70-04
D5,33.66mm,90.17mm,0,T,BAS70-04
D6,40.32mm,103.51mm,0,T,BAS70-04
D7,46.99mm,90.17mm,0,T,BAS70-04
D8,53.66mm,103.51mm,0,T,BAS70-04
D9,60.33mm,90.17mm,0,T,BAS70-04
IC1,19.05mm,76.2mm,90,T,TL074
IC4,25.4mm,63.5mm,90,T,OPA4171
LED1,40.32mm,80.01mm,0,T, OR
LED2,53.66mm,80.01mm,0,T, OR
LED3,66.99mm,80.01mm,0,T, OR
LED4,80.33mm,80.01mm,0,T, OR
LED5,46.99mm,66.67mm,0,T, W
LED6,60.33mm,66.67mm,0,T, W
LED7,73.66mm,66.67mm,0,T, W
LED8,87mm,66.67mm,0,T, W
PF1,77.79mm,25.08mm,180,T,PTC-F0805-15V
PF2,77.79mm,34.29mm,180,T,PTC-F0805-15V
R1,23.5mm,13.97mm,180,T,47k
R10,80.33mm,73.66mm,270,T,1k
R11,80.33mm,76.84mm,90,T,10k
R12,24.77mm,77.47mm,180,T,10k
R13,24.77mm,74.93mm,180,T,10k
R14,66.99mm,73.66mm,270,T,1k
R15,64.77mm,69.85mm,0,T,30k
R16,20.64mm,28.58mm,0,T,2k
R17,73.66mm,60.96mm,270,T,1k
R18,76.84mm,85.73mm,270,T,10k
R19,38.1mm,69.85mm,0,T,30k
R2,23.5mm,12.07mm,180,T,47k
R20,74.3mm,85.73mm,90,T,31k6
R21,46.99mm,60.96mm,270,T,1k
R22,13.34mm,74.93mm,0,T,10k
R23,78.11mm,69.85mm,0,T,30k
R24,66.99mm,107.95mm,0,T,30k
R25,51.44mm,69.85mm,0,T,30k
R26,66.99mm,105.41mm,0,T,10k
R27,20.32mm,94.62mm,0,T,30k
R28,13.34mm,77.47mm,0,T,10k
R29,60.33mm,60.96mm,270,T,1k
R3,40.32mm,73.66mm,270,T,1k
R30,26.99mm,107.95mm,0,T,30k
R31,31.12mm,62.23mm,180,T,10k
R32,13.65mm,107.95mm,0,T,30k
R33,31.12mm,64.77mm,180,T,10k
R34,33.66mm,94.62mm,0,T,30k
R35,19.69mm,64.77mm,0,T,10k
R36,40.32mm,107.95mm,0,T,30k
R37,24.13mm,73.03mm,270,T,20k
R38,24.13mm,79.38mm,90,T,20k
R39,19.69mm,62.23mm,0,T,10k
R4,28.89mm,4.76mm,270,T,10k
R40,12.38mm,17.14mm,90,T,10k
R41,51.75mm,29.85mm,270,T,0
R42,53.34mm,29.85mm,270,T,0
R43,17.78mm,7.3mm,180,T,39
R44,17.78mm,8.89mm,180,T,39
R45,85.73mm,40.32mm,270,T,0
R46,13.97mm,73.03mm,270,T,20k
R47,13.97mm,79.38mm,90,T,20k
R48,50.8mm,4.45mm,0,T,0
R5,20.64mm,26.67mm,0,T,2k
R51,87mm,60.96mm,270,T,1k
R52,73.66mm,63.5mm,90,T,20k
R53,87mm,63.5mm,90,T,20k
R56,46.99mm,94.62mm,0,T,30k
R58,53.66mm,107.95mm,0,T,30k
R6,40.32mm,76.84mm,90,T,10k
R60,60.33mm,94.62mm,0,T,30k
R66,46.99mm,63.5mm,90,T,20k
R67,60.33mm,63.5mm,90,T,20k
R7,53.66mm,76.84mm,90,T,10k
R8,53.66mm,73.66mm,270,T,1k
R9,66.99mm,76.84mm,90,T,10k
RN1,6.67mm,76.2mm,270,T,47k
U1,17.78mm,12.7mm,90,T,TPS2021
U2,42.55mm,20.32mm,180,T,AT32UC3B064/0128/0256
U3,31.75mm,45.4mm,180,T,AD5687R
U4,42.55mm,45.4mm,180,T,AD5687R
U40,61.6mm,30.16mm,0,T,ADP 3339
U44,71.12mm,107mm,180,T,BAS70-04
U6,77.79mm,29.53mm,90,T,BAS70-04
U7,75.56mm,46.99mm,270,T,AD7923
Y1,29.85mm,20.32mm,90,T,12mhz
