型号,封装,位号,元件编号
.22u,0603-CAP,C1,C21120
470,R0603,R101,C23179
1u,0603-CAP,"C101,C110",C29936
LM4040A10IDBZR,DBZ_R-PDSO-G3,IC101,C201738
3.3u,1206,C103,C76663
BAS70-04,SOT23,D100,C389351
1k,R0603,"R102,R103,R104,R105,R14,R16,R17,R20",C21190
REF02AU,SOIC127P600X175-8N,U100,C55857
10uf,1206,"C105,C107",C13585
15k,R0603,"R9,R10,R11,R12",C22809
0805L010,0805L,"F100,F101",C207019
120k,R0603,"R100,R13,R15,R18,R19,R21,R22,R23",C25808
74AHCT1G125DBV,SOT23-5,"IC102,IC103,IC104,IC105",C7484
DAC8564,SOP65P640X120-16N,U1,C1554750
10k,R0603,"R1,R2,R3,R4,R5,R6,R7,R8",C25804
OPA4171,SO14,IC1,C46269
180p,1206,"C102,C2,C3,C4",C527080
.1u,0603-CAP,"C112,C113,C100,C104,C106,C108,C109,C111",C91183
