Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,27.94mm,12.7mm,0,T,220n
C2,47.63mm,10.41mm,0,T,82p
C3,56.39mm,6.73mm,0,T,82p
C4,62.61mm,11.56mm,90,T,82p
IC1,76.2mm,6.35mm,270,T,OPA4171
R1,6.99mm,40.01mm,180,T,10k
R10,22.86mm,11.43mm,0,T,10k2
R11,38.42mm,13.34mm,270,T,10k2
R12,40.64mm,15.24mm,270,T,10k2
R13,52.01mm,15.62mm,90,T,81k6
R14,54.04mm,15.56mm,90,T,1k
R15,55.88mm,10.33mm,90,T,81k6
R16,56.09mm,15.56mm,90,T,1k
R17,58.17mm,15.53mm,90,T,1k
R18,59.05mm,11.16mm,90,T,81k6
R19,60.2mm,15.56mm,90,T,81k6
R2,20.32mm,40.01mm,180,T,10k
R20,62.23mm,15.56mm,90,T,1k
R21,63.12mm,6.86mm,90,T,81k6
R22,66.36mm,5.71mm,90,T,81k6
R23,85.41mm,4.13mm,180,T,81k6
R3,33.66mm,40.01mm,180,T,10k
R4,46.99mm,40.01mm,180,T,10k
R5,59.69mm,40.01mm,180,T,10k
R6,73.66mm,40.01mm,180,T,10k
R7,87mm,40.01mm,180,T,10k
R8,100.33mm,40.01mm,180,T,10k
R9,18.41mm,10.16mm,0,T,10k2
U1,10.16mm,13.02mm,180,T,DAC8564IAPW
C100,91.44mm,1.27mm,0,B,100n
C101,87.69mm,10.16mm,90,B,1u
C102,73.03mm,6.99mm,90,B,82p
C103,38.73mm,5.71mm,90,B,3.3u
C104,35.88mm,6.03mm,90,B,100n
C105,104.78mm,15.24mm,270,B,10uf
C106,102.23mm,14.29mm,270,B,100n
C107,98.43mm,12.7mm,180,B,10uf
C108,94.62mm,12.07mm,90,B,100n
C109,92.71mm,15.24mm,0,B,100n
C110,91.44mm,13.21mm,0,B,1u
C111,88.9mm,15.56mm,0,B,100n
C112,50.16mm,30.48mm,0,B,100n
C113,44.45mm,30.48mm,0,B,100n
D100,100.97mm,10.16mm,270,B,BAS70-04
F100,104.78mm,10.16mm,270,B,0805L020
F101,95.89mm,8.89mm,0,B,0805L020
IC100,90.74mm,10.16mm,0,B,MCP1703CB
IC101,97.47mm,16.19mm,90,B,LM4040A10IDBZR
IC102,39.38mm,29.85mm,90,B,74AHCT1G125DBV
IC103,27.31mm,29.85mm,90,B,74AHCT1G125DBV
IC104,16.52mm,29.85mm,90,B,74AHCT1G125DBV
IC105,7.62mm,28.58mm,270,B,74AHCT1G125DBV
R100,57.15mm,5.71mm,180,B,81k6
R101,92.71mm,17.4mm,180,B,470
R102,42.55mm,36.2mm,0,B,1k
R103,29.21mm,36.2mm,0,B,1k
R104,15.88mm,36.2mm,0,B,1k
R105,2.54mm,31.12mm,0,B,1k
U100,88.27mm,5.08mm,0,B,REF02AU
