Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,26.04mm,104.3mm,180,T,100n
C10,17.62mm,96.52mm,270,T,220p
C100,14.76mm,40.48mm,90,T,220p
C101,74.3mm,40.48mm,90,T,220p
C11,40.96mm,96.52mm,0,T,220p
C12,25.56mm,96.2mm,270,T,18p
C13,63.34mm,96.2mm,270,T,18p
C14,26.67mm,94.3mm,0,T,100n
C15,72.39mm,93.82mm,0,T,100n
C16,50.32mm,93.03mm,180,T,100n
C17,38.58mm,92.87mm,180,T,100n
C18,61.91mm,90.49mm,180,T,560p
C19,72.71mm,90.49mm,0,T,560p
C2,63.5mm,104.14mm,0,T,100n
C20,75.88mm,90.49mm,180,T,560p
C21,26.99mm,90.49mm,0,T,560p
C22,15.08mm,90.49mm,0,T,560p
C23,49.21mm,89.85mm,0,T,220p
C24,39.69mm,89.85mm,180,T,220p
C25,15.08mm,89.22mm,0,T,560p
C26,29.21mm,87.95mm,0,T,560p
C27,82.23mm,87.95mm,180,T,100n
C28,60.01mm,87.95mm,180,T,560p
C29,11.75mm,87.79mm,180,T,100n
C3,6.83mm,103.19mm,180,T,100n
C30,26.67mm,85.41mm,180,T,100n
C31,72.39mm,85.41mm,180,T,100n
C32,71.28mm,83.66mm,90,T,18p
C33,63.18mm,83.66mm,90,T,18p
C34,7.14mm,83.66mm,180,T,100n
C35,79.37mm,83.66mm,180,T,100n
C36,24.77mm,83.5mm,0,T,100n
C37,61.44mm,81.92mm,180,T,100n
C38,53.66mm,81.76mm,180,T,100n
C39,37.47mm,81.6mm,0,T,100n
C4,83.82mm,103.19mm,0,T,100n
C40,71.28mm,81.12mm,90,T,100n
C41,18.1mm,79.69mm,0,T,100n
C42,14.92mm,78.42mm,90,T,100n
C43,74.3mm,78.11mm,90,T,100n
C44,20mm,77.47mm,0,T,22u
C45,69.53mm,76.84mm,180,T,22u
C46,72.39mm,76.84mm,90,T,100n
C47,19.37mm,75.25mm,0,T,100n
C48,65.25mm,70.17mm,180,T,560p
C49,23.49mm,70.17mm,0,T,560p
C5,71.28mm,100.97mm,90,T,18p
C50,21.75mm,68.26mm,90,T,560p
C51,67.15mm,68.26mm,90,T,560p
C52,5.08mm,66.36mm,270,T,22u
C53,83.82mm,66.36mm,270,T,22u
C54,47.94mm,65.72mm,270,T,22u
C55,39.69mm,65.72mm,90,T,22u
C56,7.78mm,64.29mm,270,T,560p
C57,81.12mm,64.29mm,270,T,560p
C58,18.41mm,63.82mm,0,T,100n
C59,75.88mm,63.82mm,180,T,100n
C6,17.62mm,100.97mm,90,T,18p
C60,78.58mm,63.5mm,270,T,560p
