型号,封装,位号,元件编号
24.9kΩ0603,0603,"R30,R31,R34,R35,R41,R42,R43,R44,R50,R52,R53",C25962
TexasInstrumentsLM4040C10IDBZ,SOT23,IC8,C201738
49.9kΩ0603,0603,"R25,R26",C23184
STSTM32F103CBT6,LQFP48,UC1,C8304
22uFEEEHC1C220R,PanasonicC,"C15,C19",C336292
MCP6004T-I/SL,SOIC14,IC7,C7378
100nF0603,0603,"C1,C2,C3,C4,C5,C7,C11,C18,C20,C23,C26,C27,C28,C31",C14663
120kΩ0603,0603,R39,C25808
1uF0603,0603,"C6,C12",C15849
LM1117DTX-3.3/NOPB,TO252,IC6,C73181
10kΩ0603,0603,"R22,R27,R33",C25804
100kΩ0603,0603,"R24,R29,R47,R48,R54,R56",C25803
AbraconABLS2-8.000MHZ-D4Y-T,HC49,Q5,C107426
100Ω0603,0603,"R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18",C22775
PanasonicEVQ-Q2K01W,6mmx6mm,"SW2,SW3",C713483
1N5819HW1-7-F,SOD123,"D1,D2",C117948
47uFEEEFK1V470P,PanasonicD,"C25,C30",C178565
MicrochipMCP3204-BI/SL,SOIC14,IC4,C107363
10uFNichiconUWP1A100MCL1GB,PanasonicB,C24,C128465
39kΩ0603,0603,"R45,R46",C23153
TexasInstrumentsCD74HC595M,SOIC16,"IC1,IC2",C131977
1kΩ0603,0603,"R1,R2,R3,R11,R23,R55",C21190
TexasInstrumentsTL072CD,SOIC8,IC10,C67473
18pF0603,0603,"C9,C10",C1647
470nF0603,0603,C8,C1623
TexasInstrumentsDAC8551IADGK,MSOP8,IC5,C524800
TexasInstrumentsTL074CD,SOIC14,IC9,C12594
4.7Ω1206,1206,R49,C17937
OnSemiMMBT3904LT1G,SOT23,"Q1,Q2,Q3,Q4,Q6",C81464
TexasInstrumentsLM4040C25IDBZ,SOT23,IC3,C44215
200kΩ0603,0603,"R28,R32,R40",C25811
330Ω0603,0603,R51,C23138
