Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,61.28mm,76.84mm,90,T,100n
C10,29.21mm,53.66mm,0,T,18p
C11,59.37mm,51.12mm,270,T,100n
C12,60.96mm,51.12mm,270,T,1u
C13,48.26mm,48.58mm,180,T,1n
C14,54.61mm,48.58mm,0,T,1n
C15,65.56mm,47.15mm,90,T,22u
C16,48.26mm,38.42mm,180,T,1n
C17,54.61mm,38.42mm,0,T,1n
C18,51.44mm,38.42mm,0,T,100n
C19,74.14mm,32.54mm,90,T,22u
C2,23.5mm,74.93mm,90,T,100n
C20,26.35mm,30.48mm,270,T,100n
C21,52.07mm,27.62mm,270,T,100p
C22,56.2mm,26.67mm,0,T,100p
C23,48.9mm,25.72mm,90,T,100n
C24,44.45mm,22.86mm,90,T,10u
C25,61.91mm,22.54mm,180,T,47u
C26,14.29mm,23.5mm,180,T,100n
C27,56.2mm,18.73mm,90,T,100n
C28,26.04mm,17.78mm,270,T,100n
C29,52.39mm,16.19mm,270,T,47p
C3,33.34mm,70.8mm,0,T,100n
C30,61.91mm,15.24mm,180,T,47u
C31,11.75mm,53.66mm,180,T,100n
C4,22.23mm,62.87mm,270,T,100n
C5,30.16mm,61.6mm,0,T,100n
C6,44.77mm,58.74mm,90,T,1u
C7,46.04mm,58.74mm,90,T,100n
C8,74.3mm,57.15mm,270,T,470n
C9,21.59mm,53.66mm,180,T,18p
D1,70.48mm,22.54mm,90,T,1N5819HW
D2,70.48mm,16.19mm,90,T,1N5819HW
IC1,54.61mm,73.03mm,0,T,74HC595D
IC10,52.71mm,22.23mm,0,T,TL072
IC2,67.31mm,73.03mm,0,T,74HC595D
IC3,73.34mm,60.64mm,0,T,LM4040B25
IC4,51.44mm,56.2mm,0,T,MCP3204
IC5,59.69mm,56.2mm,0,T,DAC8551
IC6,73.66mm,46.16mm,0,T,LM1117-3.3
IC7,51.44mm,43.5mm,0,T,MCP6004
IC8,14.29mm,26.04mm,0,T,LM4040B10
IC9,26.04mm,24.13mm,0,T,TL074D
Q1,8.57mm,102.23mm,90,T,MMBT3904
Q2,16.83mm,102.23mm,90,T,MMBT3904
Q3,25.08mm,102.23mm,90,T,MMBT3904
Q4,52.07mm,102.23mm,90,T,MMBT3904
Q5,25.4mm,57.47mm,180,T,8MHz
Q6,23.81mm,48.26mm,0,T,MMBT3904
R1,11.75mm,102.23mm,270,T,1.0k
R10,48.9mm,102.23mm,270,T,100
R11,55.25mm,102.23mm,270,T,1.0k
R12,56.83mm,82.87mm,180,T,100
R13,33.97mm,78.11mm,90,T,100
R14,36.51mm,78.11mm,90,T,100
R15,39.05mm,78.11mm,90,T,100
R16,41.59mm,78.11mm,90,T,100
R17,44.13mm,78.11mm,90,T,100
R18,46.67mm,78.11mm,90,T,100
R2,20mm,102.23mm,270,T,1.0k
R22,5.08mm,60.64mm,90,T,10k
R23,72.71mm,57.15mm,90,T,1.0k
R24,65.09mm,53.98mm,0,T,100k
R25,48.26mm,49.85mm,180,T,49.9k
R26,54.61mm,49.85mm,0,T,49.9k
R27,21.27mm,48.26mm,270,T,10k
R28,45.09mm,46.99mm,0,T,200k
R29,20.64mm,46.04mm,0,T,100k
R3,28.26mm,102.23mm,270,T,1.0k
R30,45.09mm,45.4mm,0,T,24.9k
R31,45.09mm,43.5mm,0,T,24.9k
R32,45.09mm,41.91mm,0,T,200k
R33,4.45mm,40.01mm,90,T,10k
R34,48.26mm,37.15mm,180,T,24.9k
R35,54.61mm,37.15mm,0,T,24.9k
R39,48.26mm,35.56mm,0,T,120k
R4,32.7mm,102.23mm,270,T,100
R40,54.61mm,35.56mm,0,T,200k
R41,48.26mm,33.97mm,0,T,24.9k
R42,54.61mm,33.97mm,0,T,24.9k
R43,22.86mm,29.21mm,180,T,24.9k
R44,29.21mm,29.21mm,0,T,24.9k
R45,56.2mm,28.58mm,0,T,39k
R46,53.66mm,27.62mm,90,T,39k
R47,33.66mm,26.04mm,180,T,100k
R48,39.37mm,22.54mm,90,T,100k
R49,67.63mm,21.91mm,270,T,4.7
R5,35.24mm,102.23mm,270,T,100
R50,48.9mm,20.32mm,270,T,24.9k
R51,15.88mm,21.91mm,180,T,330
R52,22.86mm,19.05mm,180,T,24.9k
R53,29.21mm,19.05mm,0,T,24.9k
R54,29.21mm,17.46mm,180,T,100k
R55,50.8mm,16.19mm,90,T,1.0k
R56,53.98mm,16.19mm,90,T,100k
R6,37.78mm,102.23mm,270,T,100
R7,40.32mm,102.23mm,270,T,100
R8,42.86mm,102.23mm,270,T,100
R9,45.4mm,102.23mm,270,T,100
SW2,4.45mm,55.56mm,270,T, 
SW3,4.45mm,45.09mm,270,T, 
UC1,26.67mm,67.95mm,0,T,STM32F103CBT6
