型号,封装,位号,元件编号
MCP6002-I/SN,SOIC8,IC3,C116706
VZH100M1ETR-0406,PanasonicB,"C31,C33,C35,C36,C37,C41",C249817
TexasInstrumentsLM4040C10IDBZ,SOT23,IC6,C201738
5.6kΩ06031%,0603,"R51,R52,R53,R54,R55,R56",C23189
MCP6004T-I/SL,SOIC14,IC4,C7378
STSTM32F405RGT6,TQFP64,IC5,C15742
100nF0603,0603,"C3,C5,C8,C14,C15,C16,C17,C18,C23,C25,C26,C29,C30,C32,C34,C38,C39,C45,C46",C14663
NationalLM1117MPX-3.3/NOPB,SOT223,IC7,C9662
1uF0603,0603,"C12,C50",C15849
LM1117DTX-3.3/NOPB,TO252,IC2,C73181
10kΩ06031%,0603,"R13,R14,R16,R17",C25804
3.3kΩ06031%,0603,"R46,R47",C22978
100kΩ06031%,0603,"R12,R15,R21,R24,R29,R32,R38,R39",C25803
2.2uF0805,0805,"C19,C24",C49217
66.5kΩ06031%,0603,"R27,R31",C23225
TAE(雅晶鑫)　HC-49SM8MHz20pF30ppm,HC49,Q3,C107426
2.2kΩ06031%,0603,"R40,R41",C4190
PanasonicEVQQ2K01W,6mmx6mm,"SW4,SW5",C713483
DiodesInc1N5819HW1-7-F,SOD123,"D1,D2",C117948
470Ω06031%,0603,R30,C23179
"TexasInstrumentsCD74HC595M,NXP74HC595D,112",SOIC16,IC1,C5947
EEEFK1V470P,PanasonicD,"C1,C2,C4,C13,C27",C178565
39kΩ06031%,0603,"R48,R49,R50,R59",C23153
68.1Ω06031%,0603,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10",C23097
22kΩ06031%,0603,"R57,R58",C31850
1kΩ06031%,0603,"R61,R62",C21190
TITL072CDR,SOIC8,"IC9,IC10",C67473
18pF0603,0603,"C6,C7,C40,C42,C47,C48",C1647
33kΩ06031%,0603,"R25,R26,R35",C4216
47kΩ06031%,0603,R34,C25819
4.7Ω12061%,1206,R11,C17937
OnSemiMMBT3904LT1G,SOT23,"Q1,Q2",C81464
180kΩ06031%,0603,R36,C22827
NichiconUWX1C100MCL2GB,PanasonicA,"C28,C49",C250999
200kΩ06031%,0603,"R22,R23,R28,R33,R37",C25811
AbraconABLS2-12.288MHZ-D4Y-T,HC49,Q4,C252314
