Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,15.56mm,88.9mm,90,T,
C10,29.85mm,70.48mm,180,T,1n C0603
C11,36.2mm,70.48mm,0,T,1n C0603
C12,49.85mm,70.48mm,45,T,1u C0603
C13,5.71mm,67.95mm,90,T,47u  PANASONIC_D
C14,50.8mm,69.53mm,45,T,100n C0603
C15,21.27mm,66.99mm,270,T,100n C0603
C16,8.26mm,61.91mm,90,T,100n C0603
C17,49.53mm,62.87mm,90,T,100n C0603
C18,66.61mm,62.55mm,315,T,100n C0603
C19,65.72mm,60.64mm,315,T,2.2u C0805
C2,22.54mm,88.9mm,90,T,47u  PANASONIC_D
C20,29.85mm,60.33mm,180,T,1n C0603
C21,36.2mm,60.33mm,0,T,1n C0603
C22,23.5mm,59.69mm,270,T,1n C0603
C23,32.38mm,58.74mm,270,T,100n C0603
C24,53.66mm,57.15mm,135,T,2.2u C0805
C25,56.2mm,56.07mm,225,T,100n C0603
C26,41.27mm,55.88mm,180,T,100n C0603
C27,44.13mm,51.75mm,180,T,47u  PANASONIC_D
C28,68.58mm,49.21mm,180,T,10u  PANASONIC_A
C29,67.63mm,46.67mm,0,T,100n C0603
C3,53.82mm,86.36mm,0,T,100n C0603
C30,63.18mm,47.31mm,180,T,100n C0603
C31,84.77mm,43.18mm,90,T,10u  PANASONIC_B
C32,59.37mm,39.05mm,270,T,100n C0603
C33,58.74mm,33.34mm,0,T,10u  PANASONIC_B
C34,72.07mm,36.51mm,270,T,100n C0603
C35,75.25mm,35.56mm,90,T,10u  PANASONIC_B
C36,80.01mm,35.56mm,90,T,10u  PANASONIC_B
C37,84.77mm,35.56mm,90,T,10u  PANASONIC_B
C38,10.79mm,35.24mm,180,T,100n C0603
C39,47.94mm,34.93mm,180,T,100n C0603
C4,36.83mm,86.04mm,90,T,47u  PANASONIC_D
C40,40.64mm,33.66mm,180,T,18p C0603
C41,63.82mm,30.8mm,0,T,10u  PANASONIC_B
C42,51.75mm,33.02mm,90,T,18p C0603
C43,81.6mm,30.48mm,270,T,220p C0603
C44,86.36mm,30.48mm,270,T,220p C0603
C45,10.79mm,28.26mm,180,T,100n C0603
C46,44.45mm,27.94mm,180,T,100n C0603
C47,72.23mm,60.64mm,180,T,18p C0603
C48,80.17mm,60.64mm,0,T,18p C0603
C49,56.52mm,38.1mm,90,T,10u  PANASONIC_A
C5,40.96mm,84.14mm,90,T,100n C0603
C50,63.18mm,48.58mm,180,T,1u C0603
C6,54.29mm,76.84mm,180,T,18p C0603
C7,58.74mm,76.84mm,0,T,18p C0603
C8,57.79mm,73.02mm,135,T,100n C0603
C9,21.91mm,71.12mm,270,T,1n C0603
D1,11.11mm,87.95mm,270,T,1N5819HW SOD123
D2,7.94mm,74.3mm,0,T,1N5819HW SOD123
F1,3.18mm,102.87mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
F2,85.73mm,102.87mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
F3,2.54mm,2.54mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
F4,86.36mm,2.54mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
IC1,46.83mm,89.22mm,180,T,74HC595D SO16
IC10,46.36mm,31.43mm,270,T,TL072D SO08
IC2,29.85mm,86.56mm,180,T,LM1117-3.3 TO252
IC3,24.77mm,65.41mm,0,T,MCP6002 SO08
IC4,33.02mm,65.41mm,0,T,MCP6004 SO14
IC5,57.78mm,64.46mm,315,T,STM32F405RGT6 TQFP-10X10-64
IC6,7.3mm,58.42mm,180,T,LM4040B10 DBZ_R-PDSO-G3
IC7,44.79mm,43.18mm,0,T,LM1117-3.3 SOT223
