型号,封装,位号,元件编号
"Capacitor,ceramic",0402,C7,C1555
"Resistor,1%",0402,"R12,R19,R20,R21,R23,R29,R33,R34,R35",C25741
"Resistor,1%",0402,R25,C138017
"Resistor,1%",0402,"R1,R2,R3,R8",C137860
SchottkydiodePMEG2010AEB,SOD523,"D1,D2",C282563
LM324quadop-amp,TSSOP14,"IC2,IC3",C7942
"Capacitor,ceramic",0603,"C5,C15,C16",C162274
"Resistor,1%",0402,"R5,R27",C26083
"Resistor,1%",0402,"R13,R14,R15,R16,R17,R30,R31,R32",C114763
EMIFilterBead,0603,"L1,L2",C76814
"Capacitor,ceramic",0402,"C8,C11",C52923
"Resistor,1%",0402,R28,C321507
"Capacitor,ceramic",0402,C14,C76947
"Capacitor,ceramic",1206,"C1,C2",C12891
"Capacitor,ceramic",0402,"C3,C10",C14441
OPA1641op-amp,MSOP-8,IC1,C976288
"Capacitor,ceramic",0402,"C4,C6,C9,C12,C13",C307331
Silicondiode1N4148,SOD523,"D4,D5,D6,D7,D8",C232841
"Resistor,1%",0402,"R9,R18,R22,R26",C25765
"Resistor,1%",0402,"R4,R6,R10,R11,R24",C25744
