Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,1.91mm,102.23mm,270.00,T,22u
C10,6.99mm,36.83mm,90.00,T,68p
C11,9.53mm,18.41mm,0.00,T,1u
C12,11.11mm,15.56mm,180.00,T,100n
C13,5.4mm,13.97mm,90.00,T,100n
C14,13.65mm,13.97mm,90.00,T,1.0n
C15,14.61mm,52.71mm,270.00,T,4.7u
C16,14.92mm,71.12mm,90.00,T,4.7u
C2,17.14mm,102.23mm,90.00,T,22u
C3,7.3mm,87mm,180.00,T,68p
C4,11.75mm,72.71mm,0.00,T,100n
C5,5.08mm,70.17mm,270.00,T,4.7u
C6,8.41mm,68.26mm,0.00,T,100n
C7,11.11mm,68.26mm,0.00,T,22p
C8,5.08mm,43.18mm,90.00,T,1u
C9,10.16mm,38.42mm,0.00,T,100n
D1,2.54mm,106mm,270.00,T,PMEG2010AEB
D2,16.51mm,106.09mm,90.00,T,PMEG2010AEB
D3,6.67mm,73.03mm,180.00,T, DNP
D4,6.35mm,43.23mm,90.00,T,1N4148
D5,14.92mm,16.46mm,270.00,T,1N4148
D6,13.65mm,16.24mm,90.00,T,1N4148
D7,11.38mm,8.57mm,180.00,T,1N4148
D8,11.48mm,7.3mm,0.00,T,1N4148
IC1,11.11mm,70.48mm,270.00,T,OPA1641
IC2,11.11mm,34.93mm,270.00,T,LM324PW
IC3,9.53mm,12.07mm,270.00,T,LM324PW
L1,1.43mm,106.1mm,90.00,T, 
L2,17.62mm,106.1mm,90.00,T, 
R1,16.83mm,87mm,180.00,T,510
R10,12.7mm,47.63mm,90.00,T,10k
R11,3.81mm,43.18mm,270.00,T,10k
R12,4.45mm,39.05mm,90.00,T,100k
R13,4.45mm,36.83mm,270.00,T,200k
R14,5.71mm,36.83mm,90.00,T,200k
R15,4.45mm,34.61mm,90.00,T,200k
R16,6.99mm,34.61mm,270.00,T,200k
R17,5.24mm,32.7mm,180.00,T,200k
R18,10.16mm,31.43mm,180.00,T,20k
R19,12.38mm,31.43mm,180.00,T,100k
R2,9.84mm,74.3mm,180.00,T,510
R20,7.62mm,28.89mm,0.00,T,100k
R21,7.62mm,26.35mm,0.00,T,100k
R22,7.62mm,23.81mm,0.00,T,20k
R23,11.75mm,20.96mm,270.00,T,100k
R24,13.02mm,20.96mm,270.00,T,10k
R25,14.29mm,20.96mm,270.00,T,2.7k
R26,15.56mm,20.96mm,270.00,T,20k
R27,9.53mm,19.69mm,180.00,T,1.0M
R28,13.02mm,18.73mm,90.00,T,430k
R29,14.29mm,18.73mm,90.00,T,100k
R3,16.83mm,74.3mm,180.00,T,510
R30,14.92mm,13.97mm,90.00,T,200k
R31,15.56mm,12.07mm,0.00,T,200k
R32,14.29mm,10.79mm,180.00,T,200k
R33,13.34mm,8.57mm,270.00,T,100k
R34,14.61mm,8.57mm,90.00,T,100k
R35,15.88mm,8.57mm,90.00,T,100k
R4,6.67mm,69.85mm,270.00,T,10k
R5,6.67mm,67.63mm,90.00,T,1.0M
R6,11.11mm,66.99mm,0.00,T,10k
R8,14.61mm,55.56mm,90.00,T,510
R9,6.35mm,47.63mm,270.00,T,20k
SJ1,4.76mm,67.31mm,0.00,T, SOLDERJUMPERNC
SJ2,15.24mm,67.31mm,0.00,T, SOLDERJUMPERNC
TP1,16.35mm,14.61mm,0.00,T,TEST-POINT3X5
