型号,封装,位号,元件编号
MCP6002-I/SN,SOIC8,IC9,C116706
10uFPanasonicB,PanasonicB,"C40,C52,C53,C55,C56",C249817
TexasInstrumentsLM4040C10IDBZ,SOT23,IC1,C201738
33Ω0603,0603,R10,C23140
MCP6004-I/SL,SOIC14,"IC6,IC7,IC13",C7378
WolfsonmicroWM8731SEDS/V,SSOP28,IC12,C323837
CD4051BPWR,TSSOP16,"IC3,IC5,IC8,IC11",C54587
WurthElectronics742792693,0603,"L1,L2",C76814
STSTM32F405RGT6,TQFP64,IC10,C15742
100nF0603,0603,"C2,C4,C5,C6,C7,C8,C13,C16,C18,C21,C22,C23,C29,C32,C33,C34,C37,C38,C39,C44,C45,C46,C47,C51",C14663
3.3nF0603,0603,"C14,C15,C19,C20,C24,C25,C26,C27,C28,C30,C41,C42,C50",C55395
120kΩ0603,0603,"R14,R15,R20,R21,R32,R38,R41,R42,R55,R56,R70",C25808
TILME49720MA,SOIC8,IC14,C84465
NationalLM1117MPX3.3/NOPB,SOT223,"IC2,IC4",C9662
1uF0603,0603,"C17,C36,C48",C15849
10kΩ0603,0603,"R45,R50,R60",C25804
100kΩ0603,0603,"R13,R16,R19,R22,R30,R33,R36,R39,R40,R43,R54,R57,R67,R71",C25803
2.2uF0805,0805,"C31,C35",C49217
36kΩ0603,0603,"R75,R86",C23147
AbraconABLS2-8.000MHZ-D4Y-T,HC49,Q1,C107426
2.2kΩ0603,0603,"R44,R47,R52,R53",C4190
PanasonicEVQ-Q2K01W,6mmx6mm,"SW2,SW3",C713483
DiodesInc1N5819HW1-7-F,SOD123,"D1,D2",C117948
6.8kΩ0603,0603,"R58,R68,R74,R87",C23212
1.0kΩ0603,0603,"R1,R2,R88,R89",C21190
22uFPanasonicD,PanasonicD,"C1,C3,C9,C10",C336263
18pF0603,0603,"C11,C12,C43,C49",C1647
33kΩ0603,0603,R34,C4216
47kΩ0603,0603,"R27,R51,R59,R69,R72",C25819
20kΩ0603,0603,"R11,R12,R17,R18,R28,R29,R35,R46,R48,R49,R73",C4184
OnSemiMMBT3904LT1G,SOT23,Q2,C81464
180kΩ0603,0603,R37,C22827
200kΩ0603,0603,R31,C25811
