Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,46.36mm,100.97mm,0,T,22u
C10,13.97mm,83.5mm,90,T,22u
C11,95.57mm,83.5mm,180,T,18p
C12,104.46mm,83.5mm,0,T,18p
C13,137.16mm,76.52mm,0,T,100n
C14,26.35mm,75.88mm,180,T,3.3n
C15,36.51mm,75.88mm,0,T,3.3n
C16,137.16mm,75.25mm,0,T,100n
C17,94.3mm,73.66mm,90,T,1u
C18,95.89mm,73.66mm,90,T,100n
C19,53.02mm,73.34mm,180,T,3.3n
C2,51.12mm,96.2mm,90,T,100n
C20,63.18mm,73.34mm,0,T,3.3n
C21,105.66mm,69.53mm,0,T,100n
C22,90.49mm,68.58mm,90,T,100n
C23,17.14mm,68.26mm,0,T,100n
C24,7.62mm,66.04mm,90,T,3.3n
C25,17.78mm,65.72mm,90,T,3.3n
C26,25.4mm,65.09mm,180,T,3.3n
C27,37.47mm,65.09mm,0,T,3.3n
C28,63.5mm,65.09mm,90,T,3.3n
C29,31.43mm,63.18mm,270,T,100n
C3,3.81mm,93.03mm,90,T,22u
C30,52.07mm,62.55mm,180,T,3.3n
C31,90.81mm,60.64mm,270,T,2.2u
C32,60.33mm,61.6mm,0,T,100n
C33,92.71mm,58.74mm,270,T,100n
C34,104.46mm,57.34mm,0,T,100n
C35,102.87mm,55.56mm,0,T,2.2u
C36,91.76mm,53.66mm,180,T,1u
C37,137.16mm,53.66mm,0,T,100n
C38,91.76mm,52.07mm,180,T,100n
C39,101.92mm,50.8mm,90,T,100n
C4,6.67mm,87.95mm,180,T,100n
C40,81.92mm,50.48mm,0,T,10u
C41,43.18mm,47.94mm,180,T,3.3n
C42,53.34mm,47.94mm,0,T,3.3n
C43,70.48mm,47.31mm,180,T,18p
C44,66.99mm,44.45mm,270,T,100n
C45,73.98mm,40.64mm,270,T,100n
C46,93.34mm,40.64mm,0,T,100n
C47,99.06mm,40.32mm,0,T,100n
C48,93.34mm,39.05mm,0,T,1u
C49,68.9mm,37.78mm,180,T,18p
C5,27.3mm,94.93mm,90,T,100n
C50,53.66mm,37.47mm,0,T,3.3n
C51,45.09mm,37.15mm,180,T,100n
C52,99.38mm,36.51mm,180,T,10u
C53,76.84mm,34.29mm,0,T,10u
C54,24.13mm,27.94mm,90,T,220p
