型号,封装,位号,元件编号
"Resistor,0.1%",0402,"R3,R4,R5,R8,R28,R29,R36",C25741
"Resistor,0.1%",0402,"R1,R2,R6,R7,R9,R11",C25764
"Resistor,5%",0402,R27,C22276
"Capacitor,ceramic",0805,"C1,C2,C5,C6",C45783
"Resistor,1%",0402,R33,C25790
"Resistor,1%",0402,"R10,R19,R31",C11702
SchottkydiodePMEG2010AEB,SOD523,"D1,D2",C282563
LM321singleop-amp,SOT23-5,"IC2,IC5",C9405
"Capacitor,tantalum",0603,"C9,C13",C19666
"Resistor,1%",0402,"R20,R21,R25,R32,R37",C26083
EMIFilterBead,0603,"L1,L2",C76814
TL074quadop-amp,TSSOP14,"IC1,IC3",C96507
"Capacitor,ceramic",0402,C12,C1546
N-channelJFETMMBFJ309,SOT23-3,Q3,C58012
"Resistor,1%",0402,"R12,R13,R14,R22,R23,R34,R35",C38941
NPNtransistorMMBT3904,SOT23-3,"Q1,Q2",C81464
"Capacitor,ceramic",0603,C11,C85973
OPA4171quadop-amp,TSSOP14,IC4,C529553
"Capacitor,ceramic",0402,"C3,C4,C7,C8,C10",C307331
"Resistor,1%",0402,"R15,R16,R17,R18",C25767
"Resistor,1%",0402,R24,C25900
Silicondiode1N4148,SOD523,"D3,D4,D5,D6,D7,D8,D9,D10,D11,D12",C232841
"Resistor,1%",0402,"R26,R30",C25744
