Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,17.46mm,103.51mm,90.00,T,22u
C10,4.45mm,32.07mm,270.00,T,100n
C11,14.61mm,27.62mm,270.00,T,10n
C12,16.35mm,26.51mm,90.00,T,100p
C13,1.27mm,25.4mm,270.00,T,4.7u
C2,1.59mm,103.5mm,270.00,T,22u
C3,7.62mm,68.58mm,180.00,T,100n
C4,10.16mm,68.58mm,180.00,T,100n
C5,11.43mm,47.63mm,180.00,T,22u
C6,7.62mm,47.63mm,180.00,T,22u
C7,7.94mm,35.4mm,180.00,T,100n
C8,10.48mm,35.24mm,180.00,T,100n
C9,17.62mm,34.45mm,270.00,T,4.7u
D1,1.8mm,107.16mm,0.00,T,PMEG2010AEB
D10,16.51mm,60.91mm,270.00,T,1N4148
D11,11.54mm,34.13mm,180.00,T,1N4148
D12,17.62mm,28.47mm,90.00,T,1N4148
D2,17.35mm,107.16mm,0.00,T,PMEG2010AEB
D3,5.4mm,101.23mm,270.00,T,1N4148
D4,4.63mm,98.82mm,180.00,T,1N4148
D5,5.4mm,66.78mm,270.00,T,1N4148
D6,13.65mm,66.88mm,90.00,T,1N4148
D7,1.91mm,62.28mm,90.00,T,1N4148
D8,3.18mm,62.28mm,90.00,T,1N4148
D9,15.24mm,60.91mm,270.00,T,1N4148
IC1,9.53mm,99.7mm,270.00,T,TL074PW
IC2,8.1mm,95.41mm,90.00,T,LM321MF
IC3,9.53mm,65.09mm,270.00,T,TL074PW
IC4,9.53mm,30.8mm,270.00,T,OPA4171
IC5,7.94mm,25.4mm,90.00,T,LM321MF
L1,17.2mm,105.89mm,0.00,T, 
L2,1.85mm,105.89mm,180.00,T, 
Q1,2.22mm,33.02mm,0.00,T,MMBT3904
Q2,2.22mm,29.21mm,0.00,T,MMBT3904
Q3,11.59mm,25.08mm,0.00,T,MMBFJ309
R1,14.61mm,100.65mm,180.00,T,200k
R10,2.54mm,95.25mm,270.00,T,1.0k
R11,11.43mm,95.09mm,90.00,T,200k
R12,13.34mm,94.3mm,180.00,T,180
R13,11.43mm,81.92mm,180.00,T,180
R14,16.83mm,81.92mm,0.00,T,180
R15,3.49mm,66.67mm,180.00,T,220k
R16,15.56mm,66.67mm,0.00,T,220k
R17,3.49mm,65.41mm,180.00,T,220k
R18,15.56mm,65.41mm,0.00,T,220k
R19,7.62mm,60.96mm,90.00,T,1.0k
R2,2.86mm,100.49mm,270.00,T,200k
R20,12.7mm,60.96mm,270.00,T,1.0M
R21,13.97mm,60.96mm,270.00,T,1.0M
R22,2.22mm,47.63mm,0.00,T,180
R23,16.83mm,47.63mm,180.00,T,180
R24,2.22mm,35.56mm,0.00,T,4.7k
R25,16.19mm,34.45mm,90.00,T,1.0M
R26,15.72mm,32.38mm,180.00,T,10k
R27,5.56mm,32.07mm,270.00,T,1.5M
R28,15.72mm,31.11mm,180.00,T,100k
R29,5.08mm,30.32mm,180.00,T,100k
R3,4.13mm,100.49mm,90.00,T,100k
R30,16.35mm,29.05mm,90.00,T,10k
R31,7.78mm,27.62mm,0.00,T,1.0k
R32,11.27mm,27.62mm,180.00,T,1.0M
R33,2.54mm,25.72mm,90.00,T,470k
R34,2.22mm,11.75mm,180.00,T,180
R35,11.11mm,11.75mm,180.00,T,180
R36,17.14mm,11.75mm,180.00,T,100k
R37,7.78mm,11.75mm,0.00,T,1.0M
R4,14.61mm,99.38mm,0.00,T,100k
R5,14.61mm,98.11mm,0.00,T,100k
R6,2.22mm,97.47mm,180.00,T,200k
R7,13.34mm,96.84mm,0.00,T,200k
R8,15.88mm,96.84mm,0.00,T,100k
R9,14.61mm,95.57mm,0.00,T,200k
