型号,封装,位号,元件编号
"Resistor,1%",0603,R1,C7250
"Capacitor,electrolytic",PanasonicA(3mmdia),"C1,C2",C249551
"Resistor,1%",0603,"R2,R4,R5,R12,R13,R21",C23197
OPA4171quadop-amp,TSSOP14,IC1,C529553
1N5819HWdiode,SOD123,"D1,D2",C82544
LM321singleop-amp,SOT23-5,"IC3,IC5",C9405
"Resistor,1%",0603,"R3,R11,R19",C21190
"Resistor,0.1%,Thinfilm",0603,"R6,R7,R8,R9,R10,R14,R16,R17,R18,R20",C25803
"Capacitor,ceramic",0603,"C6,C9",C1634
"Resistor,1%",0603,R15,C4216
TL072dualop-amp,TSSOP8,"IC2,IC4",C90748
"Capacitor,ceramic",0603,"C3,C4,C5,C7,C8,C10",C91183
