Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,4.45mm,99.06mm,270.00,T,4.7u
C10,6.35mm,28.26mm,90.00,T,100n
C2,15.24mm,99.06mm,270.00,T,4.7u
C3,1.91mm,98.74mm,90.00,T,100n
C4,17.78mm,99.38mm,90.00,T,100n
C5,8.57mm,68.9mm,180.00,T,100n
C6,14.45mm,66.67mm,90.00,T,10p
C7,7.94mm,64.45mm,180.00,T,100n
C8,8.89mm,35.24mm,180.00,T,100n
C9,13.81mm,31.91mm,90.00,T,10p
D1,1.59mm,104.62mm,90.00,T,1N5819HW
D2,17.46mm,104.62mm,270.00,T,1N5819HW
IC1,9.53mm,99.38mm,270.00,T,OPA4171
IC2,10.16mm,66.67mm,270.00,T,TL072PW
IC3,15.88mm,62.55mm,180.00,T,LM321MF
IC4,9.21mm,31.43mm,270.00,T,TL072PW
IC5,16.19mm,27.62mm,180.00,T,LM321MF
R1,3.81mm,94.46mm,0.00,T,10M
R10,11.11mm,64.45mm,0.00,T,100k
R11,13.02mm,60.96mm,270.00,T,1.0k
R12,7.94mm,47.63mm,180.00,T,51
R13,16.67mm,47.63mm,0.00,T,51
R14,8.89mm,33.81mm,0.00,T,100k
R15,3.81mm,32.54mm,180.00,T,33k
R16,15.24mm,31.91mm,90.00,T,100k
R17,2.86mm,30.32mm,90.00,T,100k
R18,4.76mm,30.32mm,90.00,T,100k
R19,13.65mm,27.94mm,270.00,T,1.0k
R2,12.38mm,95.57mm,270.00,T,51
R20,3.81mm,27.3mm,90.00,T,100k
R21,16.67mm,12.07mm,180.00,T,51
R3,6.83mm,95.25mm,90.00,T,1.0k
R4,7.94mm,81.92mm,180.00,T,51
R5,16.67mm,81.92mm,180.00,T,51
R6,5.08mm,66.67mm,180.00,T,100k
R7,15.88mm,66.67mm,90.00,T,100k
R8,4.29mm,64.45mm,90.00,T,100k
R9,5.71mm,64.45mm,90.00,T,100k
