型号,封装,位号,元件编号
Resistor,100kΩ0402,"R24,R25,R26,R27,R32,R33,R34,R35,R43,R44,R60,R61,R64,R65,R66,R73,R76,R77",C25741
"Capacitor,ceramic",20pF0402,"C4,C6",C1554
Resistor,200kΩ0402,"R28,R29,R30,R31,R70,R71,R72",C25764
Resistor,39kΩ0402,"R49,R50,R75",C25783
"Capacitor,ceramic",4.7nF0402,"C30,C32,C33,C40,C42",C1538
EMIFilterBead,0603,"L2,L3,L4",C76814
"Capacitor,ceramic",470pF0402,"C31,C41",C1537
"Capacitor,ceramic",2.2uF0805,"C10,C15,C20",C342807
TL074quadop-amp,TSSOP14,IC10,C96507
"STM32F405RGT6,CortexM41024kflash",TQFP64,IC2,C15742
BAT54SLT1Gdiode,SOT23,D3,C19726
MCP6004quadop-ampR2RIO,TSSOP14,"IC5,IC6",C50282
"Capacitor,ceramic",100nF0402,"C1,C7,C8,C9,C12,C13,C16,C17,C18,C19,C21,C24,C26,C28,C29,C36,C37,C38,C39,C46,C47,C48,C49,C50",C307331
Resistor,1.5kΩ0402,"R10,R12,R17,R18,R36",C25867
"Capacitor,ceramic",470nF0402,"C25,C51,C52",C92361
Resistor,10kΩ0402,"R6,R22,R23,R55,R56,R67",C25744
Resistor,56kΩ0402,"R51,R52,R69",C25796
1N5819HWdiode,SOD123,"D1,D2",C117948
Resistor,39Ω0402,"R1,R5",C25110
Resistor,680Ω0402,"R78,R79,R80,R81",C25130
Ceradiode,0603,"C45,C53,C54,C55,C56,C57,C58",C76588
Resistor,100Ω0402,"R2,R3,R7,R8",C25076
Resistor,1.0kΩ0402,R68,C11702
Resistor,1.0kΩ0603,"R45,R46,R62,R63,R85,R86,R87",C21190
"Capacitor,ceramic",47pF0402,"C34,C35,C43,C44",C1567
"Capacitor,ceramic",22uF1206,"C3,C5,C14",C12891
Resistor,180Ω0402,"R82,R83,R84",C38941
Resistor,23.7kΩ0402,"R47,R48,R53,R54",C82134
Crystal,6mmx3.6mm,Q1,C280088
NPNtransistorMMBT3904,SOT23,"Q2,Q3",C81464
Resistor,2.2kΩ0402,"R9,R11,R15,R19",C25879
LM4040ShuntVref,SOT23,IC8,C44215
Resistor,33kΩ0402,"R39,R40,R41,R42,R57,R58,R59",C25779
Resistor,150kΩ0402,R74,C25755
1N4148silicondiode,SOD523,"D4,D5",C68948
