型号,封装,位号,元件编号
3.3uF0603,0603,C13,C51412
TexasInstrumentsLM4040C10IDBZ,SOT23,IC6,C201738
33Ω0603,0603,"R10,R23",C23140
STSTM32F103CBT6,LQFP48,UC1,C8304
EMIFilterBead,0603,L1,C76814
100nF0603,0603,"C3,C5,C8,C9,C10,C12,C16,C18,C21,C24",C14663
NationalLM1117MPX3.3/NOPB,SO223,IC1,C9662
TIOPA2171AID,SOIC8,"IC4,IC5",C40904
10kΩ0603,0603,"R3,R13,R16,R28",C25804
100kΩ0603,0603,"R15,R27",C25803
3.3kΩ0603,0603,"R9,R25",C22978
AbraconABLS2-8.000MHZ-D4Y-T,HC49,Q1,C107426
100Ω0603,0603,"R2,R4,R6,R7,R8",C22775
PanasonicEVQ-Q2K01W,6mmx6mm,"SW3,SW5",C713483
DiodesInc1N5819HW1-7-F,SOD123,"D1,D2",C117948
249kΩ0603,0603,"R18,R29",C95223
39kΩ0603,0603,"R12,R14,R17,R22,R24,R26",C23153
TexasInstrumentsDAC8552IDGKT,MSOP8,IC3,C98755
1.0kΩ0603,0603,"R20,R31",C21190
22uFPanasonicC,PanasonicC,"C1,C2,C4",C336263
18pF0603,0603,"C6,C7,C17,C23",C1647
470nF0603,0603,"C11,C22",C1623
309kΩ0603,0603,"R19,R30",C56054
OnSemiMMBT3904LT1G,SOT23,"Q2,Q3",C81464
TexasInstrumentsLM4040C25IDBZ,SOT23,IC2,C44215
