Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,34.93mm,99.7mm,90,T,22u
C10,18.41mm,62.23mm,0,T,100n
C11,27.94mm,58.42mm,270,T,470n
C12,17.14mm,51.44mm,180,T,100n
C13,17.14mm,49.85mm,180,T,3.3u
C14,15.88mm,44.13mm,270,T,220p
C15,20.96mm,44.13mm,90,T,220p
C16,14.29mm,40.01mm,270,T,100n
C17,15.24mm,32.07mm,270,T,18p
C18,20.32mm,32.07mm,90,T,100n
C19,15.88mm,24.13mm,270,T,220p
C2,12.07mm,97.16mm,180,T,22u
C20,20.96mm,24.13mm,90,T,220p
C21,14.29mm,19.05mm,270,T,100n
C22,29.53mm,16.51mm,90,T,470n
C23,13.65mm,15.56mm,0,T,18p
C24,17.14mm,13.02mm,0,T,100n
C3,17.14mm,95.09mm,90,T,100n
C4,19.05mm,89.85mm,90,T,22u
C5,13.02mm,77.47mm,0,T,100n
C6,16.83mm,77.47mm,180,T,18p
C7,20.32mm,77.47mm,180,T,18p
C8,19.37mm,73.98mm,90,T,100n
C9,9.84mm,64.14mm,270,T,100n
D1,6.35mm,104.14mm,0,T,1N5819HW
D2,29.21mm,104.14mm,0,T,1N5819HW
F1,2.54mm,104.14mm,0,T,FIDUCIAL1X2
F2,36.83mm,104.14mm,0,T,FIDUCIAL1X2
F3,2.54mm,2.54mm,0,T,FIDUCIAL1X2
F4,36.2mm,2.54mm,0,T,FIDUCIAL1X2
IC1,12.04mm,89.54mm,180,T,LM1117-3.3
IC2,25.4mm,58.42mm,0,T,LM4040B25
IC3,18.41mm,55.88mm,0,T,DAC8552
IC4,17.78mm,38.1mm,0,T,OPA2171
IC5,17.78mm,18.1mm,0,T,OPA2171
IC6,26.99mm,16.51mm,0,T,LM4040B10
L1,19.05mm,95.15mm,90,T, 
Q1,18.41mm,80.96mm,0,T,8MHz
Q2,4.76mm,42.86mm,270,T,MMBT3904
Q3,4.45mm,14.29mm,270,T,MMBT3904
R10,11.75mm,52.39mm,90,T,33
R12,18.41mm,45.09mm,0,T,39k
R13,34.61mm,43.82mm,90,T,10k
R14,18.41mm,43.18mm,180,T,39k
R15,1.91mm,42.86mm,90,T,100k
R16,8.57mm,42.86mm,0,T,10k
R17,21.27mm,38.1mm,90,T,39k
R18,16.83mm,32.07mm,90,T,249k
R19,18.41mm,32.07mm,270,T,309k
R2,1.59mm,91.44mm,270,T,100
R20,15.24mm,28.89mm,90,T,1.0k
R22,18.41mm,25.08mm,0,T,39k
R23,12.07mm,23.18mm,90,T,33
R24,18.41mm,23.18mm,180,T,39k
R25,31.12mm,16.51mm,270,T,3.3k
R26,21.91mm,15.56mm,0,T,39k
R27,1.59mm,14.29mm,90,T,100k
R28,8.26mm,14.29mm,180,T,10k
R29,13.65mm,13.97mm,180,T,249k
R3,16.19mm,86.04mm,0,T,10k
R30,21.91mm,13.97mm,0,T,309k
R31,13.65mm,12.38mm,0,T,1.0k
R4,1.59mm,76.2mm,270,T,100
R6,1.59mm,71.12mm,270,T,100
R7,1.59mm,65.41mm,270,T,100
R8,1.59mm,60.01mm,270,T,100
R9,22.86mm,58.42mm,90,T,3.3k
SW3,34.61mm,60.33mm,270,T, 
SW5,34.61mm,38.42mm,270,T, 
UC1,14.61mm,68.9mm,180,T,STM32F103CBT6
