型号,封装,位号,元件编号
100k,0402,"R13,R14,R15,R24,R38,R39,R40,R41",C25741
20p,0402,"C14,C21",C1554
200k,0402,"R25,R27,R30",C25764
"LM4040ShuntVref10VCgrade(0.5%,100ppm)",SOT23,IC9,C201738
"EMIFilterBead>=1kohm,300mA",0603,"L2,L3,L4,L5",C76814
1u,0402,"C9,C19,C24,C25,C50",C52923
BAT54SLT1Gdiode,SOT23,D3,C19726
MCP6004quadop-ampR2RIO,TSSOP14,"IC6,IC7",C50282
110k,0402,R26,C25745
100n,0402,"C6,C8,C10,C11,C12,C15,C17,C18,C20,C23,C26,C27,C28,C32,C34,C36,C37,C44,C45,C51,C52,C53",C307331
20k,0402,"R19,R32,R35",C25765
10k,0402,"R3,R4,R16,R21,R45,R48,R49,R50,R51",C25744
PCM5100APWAudioDAC,SSOP20,IC5,C131154
56k,0402,R17,C25796
120k,0402,"R23,R33,R36",C25750
1N5819HWdiode,SOD123,"D1,D2",C117948
,0603,"C54,C55,C56,C57,C58,C59,C60,C61",C76588
100,0402,"R5,R6,R9,R10",C25076
1.0k,0603,"R46,R47",C21190
100p,0402,"C38,C42,C43,C46",C1546
1n,0402,"C33,C35,C39,C40,C41,C47,C48,C49",C1523
22u,1206,"C1,C2,C13",C12891
8MHz<=20ppm,6mmx3.6mm,Q1,C280088
2.2k,0402,"R11,R12,R37",C25879
33k,0402,"R18,R20,R22,R28,R31,R34",C25779
140k,0402,R29,C270645
