Designator,Mid X,Mid Y,Layer,Rotation,Comment
C1,15.56mm,101.6mm,T,270,22u
C10,16.67mm,80.8mm,T,0,100n
C11,10.79mm,79.06mm,T,180,100n
C12,46.99mm,79.06mm,T,180,100n
C13,52.71mm,78.74mm,T,0,22u
C14,5.71mm,78.11mm,T,180,20p
C15,12.86mm,76.36mm,T,270,100n
C16,37.78mm,75.41mm,T,180,10u
C17,35.4mm,73.03mm,T,0,100n
C18,37.78mm,73.02mm,T,0,100n
C19,10.16mm,72.55mm,T,90,1u
C2,17.78mm,101.6mm,T,270,22u
C20,11.43mm,72.55mm,T,90,100n
C21,6.99mm,70.33mm,T,0,20p
C22,51.91mm,69.53mm,T,180,10u
C23,22.15mm,68.1mm,T,180,100n
C24,22.15mm,66.83mm,T,180,1u
C25,16.83mm,65.25mm,T,270,1u
C26,17.94mm,65.25mm,T,270,100n
C27,34.61mm,64.77mm,T,270,100n
C28,40.96mm,63.98mm,T,0,100n
C29,36.35mm,62.23mm,T,0,2.2u
C3,15.56mm,96.52mm,T,270,10u
C30,40.96mm,60.8mm,T,90,10u
C31,36.35mm,60.01mm,T,180,2.2u
C32,9.53mm,51.75mm,T,180,100n
C33,37.15mm,51.75mm,T,90,1.0n
C34,48.26mm,51.75mm,T,180,100n
C35,40.8mm,51.75mm,T,90,1.0n
C36,9.21mm,49.21mm,T,180,100n
C37,53.02mm,47.94mm,T,0,100n
C38,6.03mm,47.63mm,T,90,100p
C39,14.29mm,47.63mm,T,90,1.0n
C4,45.09mm,96.52mm,T,180,22u
C40,26.67mm,47.63mm,T,90,1.0n
C41,34.93mm,47.63mm,T,90,1.0n
C42,45.09mm,47.31mm,T,90,100p
C43,53.98mm,46.04mm,T,90,100p
C44,26.04mm,45.72mm,T,180,100n
C45,45.09mm,44.77mm,T,270,100n
C46,6.03mm,43.82mm,T,270,100p
C47,14.29mm,43.82mm,T,270,1.0n
C48,26.67mm,43.82mm,T,270,1.0n
C49,34.93mm,43.82mm,T,270,1.0n
C5,51.44mm,96.52mm,T,180,22u
C50,41.91mm,42.86mm,T,180,1u
C51,24.77mm,30.8mm,T,270,100n
C52,44.13mm,30.8mm,T,270,100n
C53,9.53mm,27.94mm,T,180,100n
C54,46.83mm,14.76mm,T,270, ESD
C55,5.71mm,13.97mm,T,180, ESD
C56,19.05mm,13.97mm,T,0, ESD
C57,31.91mm,13.97mm,T,0, ESD
C58,49.85mm,13.97mm,T,180, ESD
C59,12.38mm,2.7mm,T,90, ESD
C6,18.1mm,95.57mm,T,90,100n
C60,35.08mm,2.7mm,T,90, ESD
C61,23.81mm,2.7mm,T,90, ESD
C7,34.93mm,90.65mm,T,180,10u
C8,34.13mm,87.47mm,T,90,100n
C9,16.67mm,82.07mm,T,0,1u
D1,40.64mm,100.97mm,T,90,1N5819HW
D2,56.2mm,100.97mm,T,270,1N5819HW
D3,25.72mm,57.63mm,T,90,BAT54S
IC2,37.78mm,82.55mm,T,0,TLC59281DBQ
IC3,51.28mm,74.54mm,T,0,LD2981ABU33
IC4,18.41mm,73.66mm,T,270,STM32F373CCT6
IC5,38.74mm,68.26mm,T,90,PCM5100APW
IC6,10.16mm,45.72mm,T,270,MCP6004
IC7,30.8mm,45.72mm,T,270,MCP6004
IC8,49.53mm,45.72mm,T,270,TL072PW
IC9,41.12mm,45.4mm,T,0,LM4040B10
JP1,1.91mm,104.78mm,T,0,FIDUCIAL1X2
JP2,57.15mm,104.78mm,T,0,FIDUCIAL1X2
JP3,1.91mm,2.54mm,T,0,FIDUCIAL1X2
JP4,57.15mm,2.54mm,T,0,FIDUCIAL1X2
L1,16.46mm,104.78mm,T,180,33u
L2,40.64mm,96.9mm,T,90, 
L3,56.2mm,96.74mm,T,90, 
L4,31.91mm,90.59mm,T,270, 
L5,53.88mm,80.8mm,T,0, 
Q1,6.3mm,74.3mm,T,90,8MHz
R10,5.24mm,52.55mm,T,90,100
R11,38.26mm,51.75mm,T,90,2.2k
R12,39.69mm,51.75mm,T,90,2.2k
R13,37.47mm,48.9mm,T,90,100k
R14,17.46mm,48.26mm,T,0,100k
R15,23.5mm,48.26mm,T,180,100k
R16,50.48mm,47.94mm,T,180,10k
R17,4.76mm,47.63mm,T,270,56k
R18,15.56mm,47.63mm,T,270,33k
R19,25.4mm,47.63mm,T,270,20k
R20,36.2mm,47.63mm,T,270,33k
R21,42.55mm,47.31mm,T,90,10k
R22,43.82mm,47.31mm,T,270,33k
R23,23.5mm,46.99mm,T,180,120k
R24,2.22mm,46.36mm,T,270,100k
R25,3.49mm,46.36mm,T,270,200k
R26,16.83mm,46.36mm,T,270,110k
R27,37.47mm,46.36mm,T,270,200k
R28,55.25mm,46.04mm,T,270,33k
R29,23.5mm,44.45mm,T,180,140k
R3,35.88mm,87.31mm,T,0,10k
R30,3.49mm,43.82mm,T,90,200k
R31,4.76mm,43.82mm,T,90,33k
R32,15.56mm,43.82mm,T,90,20k
R33,16.83mm,43.82mm,T,90,120k
R34,25.4mm,43.82mm,T,90,33k
R35,36.2mm,43.82mm,T,90,20k
R36,37.47mm,43.82mm,T,90,120k
R37,43.82mm,43.5mm,T,270,2.2k
R38,23.5mm,43.18mm,T,180,100k
R39,37.47mm,41.59mm,T,270,100k
R4,16.03mm,83.19mm,T,180,10k
R40,3.49mm,41.27mm,T,270,100k
R41,16.83mm,41.27mm,T,270,100k
R45,35.56mm,13.65mm,T,270,10k
R46,44.13mm,12.7mm,T,0,1.0k
R47,55.56mm,12.7mm,T,0,1.0k
R48,21.91mm,12.38mm,T,270,10k
R49,25.72mm,12.38mm,T,270,10k
