型号,封装,位号,元件编号
10nF0603,0603,"C26,C28,C36,C38",C76710
3.3MΩ06031%,0603,R50,C26096
MCP6004T-I/SL,SOIC14,IC7,C7378
CD4051BPWR,TSSOP16,IC4,C54587
1kΩ±25%@100MHzEMIFilterBead,0603,"L1,L2,L3",C76814
STSTM32F405RGT6,TQFP64,IC2,C15742
ONSemiBAT54SLT1G(replacesBAT54S),SOT23,D3,C19726
100nF0603,0603,"C6,C9,C10,C11,C13,C15,C17,C19,C20,C25,C27,C31,C35,C37,C39,C44,C45,C47,C48",C14663
1MΩ06031%,0603,R53,C22935
120kΩ06031%,0603,"R20,R23,R24,R36,R37",C25808
1uF0603,0603,"C7,C18,C30",C15849
LM1117DTX-3.3/NOPB,TO252,IC1,C73181
10kΩ06031%,0603,"R6,R7,R8",C25804
100kΩ06031%,0603,"R11,R14,R19,R21,R22,R34,R35,R52",C25803
2.2uF0805,0805,"C16,C22",C49217
36kΩ06031%,0603,"R27,R54",C23147
8MHz20pF30ppm,HC49,Q1,C107426
PanasonicEVQ-Q2K01W,6mmx6mm,"SW3,SW4",C713483
2.2kΩ06031%,0603,"R12,R16,R17",C4190
DiodesInc1N5819HW1-7-F,SOD123,"D1,D2",C117948
6.8kΩ06031%,0603,"R40,R43,R51",C23212
470kΩ06031%,0603,R57,C23178
47uFPanasonicD,PanasonicD,"C2,C3,C8",C178565
5Ω12061%,1206,R2,C18020
1kΩ06031%,0603,"R55,R56",C21190
TL072dualop-amp,SOIC8,IC8,C67473
18pF0603,0603,"C4,C5,C23,C24,C42,C43",C1647
47kΩ06031%,0603,"R13,R33,R38,R39,R41,R42,R44",C25819
20kΩ06031%,0603,"R18,R25,R26,R31,R32",C4184
2.2nF0603,0603,"C14,C29",C33353
180kΩ06031%,0603,R15,C22827
OnSemiMMBT3904LT1G,SOT23,Q2,C81464
180Ω06031%,0603,"R1,R3,R4,R5",C22828
10uFPanasonicA,PanasonicA,"C12,C21,C32,C33,C34,C40,C41,C46",C250999
12.288MHZ20PF±20ppm,HC49,Q3,C252314
