Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,34.29mm,95.57mm,180,T,22u  PANASONIC_C
C10,41.91mm,82.55mm,0,T,100n C0603
C11,26.99mm,81.47mm,90,T,100n C0603
C12,60.96mm,78.42mm,270,T,10u  PANASONIC_A
C13,63.5mm,77.79mm,90,T,100n C0603
C14,4.76mm,76.52mm,90,T,2.2n C0603
C15,12.07mm,75.88mm,0,T,100n C0603
C16,26.99mm,74.61mm,90,T,2.2u C0805
C17,40.96mm,71.76mm,270,T,100n C0603
C18,42.23mm,71.76mm,270,T,1u C0603
C19,4.13mm,70.48mm,270,T,100n C0603
C2,17.46mm,94.3mm,90,T,47u  PANASONIC_D
C20,28.89mm,71.44mm,270,T,100n C0603
C21,52.07mm,70.17mm,270,T,10u  PANASONIC_A
C22,38.73mm,69.22mm,0,T,2.2u C0805
C23,55.25mm,68.26mm,180,T,18p C0603
C24,64.45mm,68.26mm,0,T,18p C0603
C25,52.39mm,66.99mm,0,T,100n C0603
C26,6.35mm,64.77mm,270,T,10n C0603
C27,39.05mm,65.41mm,180,T,100n C0603
C28,18.73mm,62.23mm,180,T,10n C0603
C29,25.08mm,62.23mm,0,T,2.2n C0603
C3,24.77mm,94.3mm,90,T,47u  PANASONIC_D
C30,40.01mm,60.01mm,270,T,1u C0603
C31,41.27mm,60.01mm,270,T,100n C0603
C32,41.59mm,53.34mm,90,T,10u  PANASONIC_A
C33,46.04mm,53.34mm,90,T,10u  PANASONIC_A
C34,50.48mm,53.34mm,90,T,10u  PANASONIC_A
C35,53.02mm,53.34mm,270,T,100n C0603
C36,18.73mm,51.44mm,180,T,10n C0603
C37,21.91mm,51.44mm,0,T,100n C0603
C38,25.08mm,51.44mm,0,T,10n C0603
C39,47.31mm,46.99mm,0,T,100n C0603
C4,30.16mm,92.71mm,270,T,18p C0603
C40,53.66mm,46.99mm,90,T,10u  PANASONIC_A
C41,29.21mm,46.04mm,90,T,10u  PANASONIC_A
C42,36.83mm,46.04mm,90,T,18p C0603
C43,46.36mm,44.77mm,90,T,18p C0603
C44,61.6mm,43.5mm,0,T,100n C0603
C45,35.88mm,43.18mm,0,T,100n C0603
C46,15.24mm,29.53mm,270,T,10u  PANASONIC_A
C47,55.88mm,29.21mm,90,T,100n C0603
C48,12.7mm,27.3mm,270,T,100n C0603
C49,37.78mm,13.65mm,180,T,220p C0603
C5,43.82mm,92.71mm,270,T,18p C0603
C6,10.79mm,87.31mm,0,T,100n C0603
C7,31.43mm,86.36mm,180,T,1u C0603
C8,5.71mm,84.77mm,0,T,47u  PANASONIC_D
C9,31.43mm,85.09mm,180,T,100n C0603
D1,19.05mm,101.28mm,90,T,1N5819HW SOD123
D2,39.05mm,101.28mm,270,T,1N5819HW SOD123
D3,27.94mm,53.02mm,180,T,BAT54S SOT23
F1,1.59mm,105.09mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
F2,67.63mm,105.09mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
F3,1.59mm,1.59mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
F4,67.63mm,1.59mm,0,T,FIDUCIAL1X2 FIDUCIAL-1X2
IC1,9.09mm,93.03mm,90,T,LM1117-3.3 TO252
IC2,34.94mm,77.5mm,270,T,STM32F405RGT6 TQFP-10X10-64
IC3,12.07mm,73.34mm,180,T,LM4040B10 DBZ_R-PDSO-G3
IC4,61.6mm,73.02mm,270,T,4051PW TSSOP16
IC5,7.3mm,70.48mm,0,T,MCP6002 SO08
IC6,46.99mm,61.29mm,270,T,WM8731 SSOP28
IC7,21.91mm,56.83mm,0,T,MCP6004 SO14
IC8,41.59mm,45.09mm,270,T,TL072 SO08
L1,20.64mm,102.65mm,270,T,603
L2,37.47mm,102.65mm,270,T,603
L3,27.21mm,87.63mm,0,T,603
Q1,37.15mm,89.85mm,0,T,8MHz HC49UP
Q2,11.43mm,80.33mm,270,T,MMBT3904 SOT23-BEC
Q3,60.01mm,65.09mm,0,T,12.288MHz HC49UP
R1,10.79mm,102.87mm,270,T,180 R0603
R11,7.62mm,80.65mm,0,T,100k R0603
R12,12.07mm,77.47mm,180,T,2.2k R0603
R13,6.35mm,76.52mm,270,T,47k R0603
R14,7.94mm,76.52mm,90,T,100k R0603
R15,9.53mm,76.52mm,90,T,180k R0603
R16,43.66mm,68.58mm,90,T,2.2k R0603
R17,45.09mm,68.58mm,90,T,2.2k R0603
R18,7.94mm,64.77mm,90,T,20k R0603
R19,9.53mm,64.77mm,270,T,100k R0603
R2,16.83mm,101.28mm,90,T,4.7 R1206
R20,11.11mm,64.77mm,270,T,120k R0603
R21,18.73mm,65.41mm,180,T,100k R0603
R22,25.08mm,65.41mm,0,T,100k R0603
R23,20.96mm,64.77mm,270,T,120k R0603
R24,22.86mm,64.77mm,270,T,120k R0603
R25,18.73mm,63.82mm,0,T,20k R0603
R26,25.08mm,63.82mm,180,T,20k R0603
R27,52.71mm,60.01mm,270,T,36k R0603
R3,10.79mm,99.7mm,90,T,180 R0603
R31,18.73mm,49.85mm,0,T,20k R0603
R32,25.08mm,49.85mm,180,T,20k R0603
R33,42.23mm,48.9mm,180,T,47k R0603
R34,18.73mm,48.26mm,180,T,100k R0603
R35,25.08mm,48.26mm,0,T,100k R0603
R36,20.96mm,47.94mm,90,T,120k R0603
R37,22.86mm,47.94mm,90,T,120k R0603
R38,51.12mm,46.67mm,270,T,47k R0603
R39,32.07mm,46.04mm,90,T,47k R0603
R4,54.29mm,96.84mm,90,T,180 R0603
R40,33.66mm,46.04mm,90,T,6.8k R0603
R41,35.24mm,46.04mm,270,T,47k R0603
R42,47.94mm,44.77mm,270,T,47k R0603
R43,49.53mm,44.77mm,90,T,6.8k R0603
R44,52.07mm,43.82mm,0,T,47k R0603
R5,55.88mm,96.84mm,90,T,180 R0603
R50,15.88mm,24.13mm,90,T,3.3M R0603
R51,37.78mm,12.07mm,0,T,6.8k R0603
R52,14.29mm,9.53mm,270,T,100k R0603
R53,28.89mm,9.53mm,270,T,1M R0603
R54,40.01mm,2.86mm,270,T,36k R0603
R55,42.23mm,2.86mm,90,T,1.0k R0603
R56,55.25mm,2.86mm,90,T,1.0k R0603
R57,16.19mm,8.26mm,270,T,470k R0603
R6,46.67mm,92.39mm,0,T,10k R0603
R7,51.12mm,92.39mm,0,T,10k R0603
R8,10.79mm,83.82mm,90,T,10k R0603
SJ1,54mm,12.38mm,180,T,SOLDERJUMPERNC2 SJ_2S-NOTRACE
SW3,43.5mm,99.06mm,270,T,EVQ-Q2
SW4,50.16mm,99.06mm,90,T,EVQ-Q2
