型号,封装,位号,元件编号
62kΩ0603,0603,R24,C23221
220nF603,603,"C11,C25",C21120
300kΩ0603,0603,R15,C23024
47pF0603,0603,"C22,C23,C26,C27",C1671
STTL072CDT,SOIC8,"IC1,IC3",C6961
CoolAudioV2164M,SOIC16,IC2,C976293
VZH4R7M1ETR-0406,PanasonicB,C16,C473417
560pF0603,0603,"C2,C3,C7,C8,C17,C18,C24",C55393
100nF0603,0603,"C5,C10,C13,C15,C19,C20,C21,C28",C14663
100kΩ0603,0603,"R9,R20,R29,R31,R35,R37,R38,R40,R42,R45",C25803
台湾陆海nSMD035-16V,1206,"P1,P2",C70072
1N5819HW1-7-F,SOD123,"D3,D4",C117948
6.8kΩ0603,0603,R39,C23212
MMBT3906LT1G,SOT23-BEC,"Q1,Q2",C53444
EEEFK1V470P,PanasonicD,"C12,C14",C178565
39kΩ0603,0603,"R27,R30,R44",C23153
22kΩ0603,0603,"R16,R25",C31850
510Ω0603,0603,"R3,R4,R10,R11",C23193
1kΩ0603,0603,"R14,R17,R19,R21,R28,R32,R41,R46",C21190
33kΩ0603,0603,"R1,R2,R5,R6,R8,R12,R13,R43",C4216
TL074CDR,SOIC14,"IC5,IC6",C12594
15kΩ0603,0603,"R36,R47",C22809
1N4148WS-7-F,SOD323,"D5,D6",C60580
47kΩ0603,0603,"R22,R26,R34",C25819
TexasInstrumentsLM4040C50IDBZ,SOT23,IC7,C69316
27kΩ0603,0603,R23,C22967
LM13700MX/NOPB,SOIC16,IC4,C174050
