Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,17.78mm,101.6mm,90,T,220p C0603
C10,36.51mm,88.58mm,90,T,100n C0603
C11,6.67mm,82.23mm,90,T,220n C0603
C12,34.93mm,80.65mm,270,T,47u  PANASONIC_D
C13,11.75mm,79.06mm,90,T,100n C0603
C14,28.89mm,71.44mm,90,T,47u  PANASONIC_D
C15,12.7mm,65.72mm,90,T,100n C0603
C16,3.81mm,64.77mm,90,T,4.7u  PANASONIC_B
C17,16.83mm,61.28mm,270,T,560p C0603
C18,26.35mm,61.28mm,270,T,560p C0603
C19,28.26mm,61.28mm,270,T,100n C0603
C2,24.13mm,101.6mm,270,T,560p C0603
C20,29.85mm,61.28mm,90,T,100n C0603
C21,9.53mm,59.69mm,270,T,100n C0603
C22,4.45mm,54.93mm,90,T,47p C0603
C23,12.38mm,54.93mm,90,T,47p C0603
C24,16.51mm,46.99mm,90,T,560p C0603
C25,24.77mm,43.82mm,270,T,220n C0603
C26,4.45mm,40.96mm,270,T,47p C0603
C27,12.38mm,40.96mm,270,T,47p C0603
C28,15.56mm,40.96mm,270,T,100n C0603
C3,27.94mm,101.6mm,270,T,560p C0603
C4,34.61mm,101.6mm,90,T,220p C0603
C5,14.29mm,100.97mm,90,T,100n C0603
C6,17.46mm,88.58mm,270,T,220p C0603
C7,24.13mm,88.58mm,90,T,560p C0603
C8,27.94mm,88.58mm,90,T,560p C0603
C9,34.61mm,88.58mm,270,T,220p C0603
D3,28.58mm,79.69mm,0,T,1N5819HW SOD123
D4,28.57mm,77.47mm,0,T,1N5819HW SOD123
D5,13.02mm,49.53mm,90,T,1N4148 SOD323-W
D6,14.92mm,49.53mm,270,T,1N4148 SOD323-W
F1,1.91mm,104.78mm,90,T,FIDUCIAL1X2 FIDUCIAL-1X2
F2,37.47mm,104.78mm,90,T,FIDUCIAL1X2 FIDUCIAL-1X2
F3,1.91mm,1.91mm,90,T,FIDUCIAL1X2 FIDUCIAL-1X2
F4,37.47mm,1.91mm,90,T,FIDUCIAL1X2 FIDUCIAL-1X2
IC1,17.14mm,95.25mm,0,T,TL072D SO08
IC2,26.04mm,95.25mm,0,T,V2164 SOIC16N
IC3,34.93mm,95.25mm,0,T,TL072D SO08
IC4,7.94mm,72.39mm,0,T,LM13700M SO16
IC5,20.32mm,53.98mm,0,T,TL074D SO14
IC6,6.99mm,48.26mm,0,T,TL074D SO14
IC7,29.21mm,43.18mm,180,T,LM4040 5.0V DBZ_R-PDSO-G3
P1,28.58mm,82.23mm,0,T,PTCSMD PTC-1206
P2,34.93mm,60.64mm,0,T,PTCSMD PTC-1206
Q1,26.35mm,65.09mm,90,T,MMBT3906 SOT23-BEC
Q2,13.97mm,61.28mm,90,T,MMBT3906 SOT23-BEC
R1,19.37mm,101.6mm,270,T,33k R0603
R10,22.54mm,88.58mm,90,T,510 R0603
R11,29.53mm,88.58mm,90,T,510 R0603
R12,31.12mm,88.58mm,90,T,33k R0603
R13,32.7mm,88.58mm,270,T,33k R0603
R14,5.08mm,79.06mm,270,T,1.0k R0603
R15,6.67mm,79.06mm,90,T,300k R0603
R16,8.26mm,79.06mm,90,T,22k R0603
R17,9.84mm,79.06mm,90,T,1.0k R0603
R19,7.62mm,65.72mm,90,T,1.0k R0603
R2,20.96mm,101.6mm,90,T,33k R0603
R20,9.21mm,65.72mm,90,T,100k R0603
R21,10.79mm,65.72mm,90,T,1.0k R0603
R22,18.41mm,61.28mm,90,T,47k R0603
R23,20mm,61.28mm,270,T,27k R0603
R24,21.59mm,61.28mm,270,T,62k R0603
R25,23.18mm,61.28mm,270,T,22k R0603
R26,24.77mm,61.28mm,90,T,47k R0603
R27,7.62mm,59.69mm,270,T,39k R0603
R28,2.86mm,54.93mm,90,T,1.0k R0603
R29,6.03mm,54.93mm,90,T,100k R0603
R3,22.54mm,101.6mm,270,T,510 R0603
R30,7.62mm,54.93mm,270,T,39k R0603
R31,10.79mm,54.93mm,90,T,100k R0603
R32,13.97mm,54.93mm,90,T,1.0k R0603
R34,18.1mm,46.99mm,90,T,47k R0603
R35,19.69mm,46.99mm,90,T,100k R0603
R36,21.27mm,46.99mm,270,T,15k R0603
R37,24.77mm,46.99mm,90,T,100k R0603
R38,26.35mm,46.99mm,270,T,100k R0603
R39,26.35mm,43.82mm,90,T,6.8k R0603
R4,29.53mm,101.6mm,270,T,510 R0603
R40,31.75mm,43.5mm,90,T,100k R0603
R41,2.86mm,40.96mm,270,T,1.0k R0603
R42,6.03mm,40.96mm,270,T,100k R0603
R43,7.62mm,40.96mm,90,T,33k R0603
R44,9.21mm,40.96mm,90,T,39k R0603
R45,10.79mm,40.96mm,270,T,100k R0603
R46,13.97mm,40.96mm,270,T,1.0k R0603
R47,26.99mm,12.38mm,0,T,15k R0603
R5,31.12mm,101.6mm,270,T,33k R0603
R6,32.7mm,101.6mm,90,T,33k R0603
R8,19.05mm,88.58mm,270,T,33k R0603
R9,20.64mm,88.58mm,90,T,100k R0603
