型号,封装,位号,元件编号
100k,0402,"R25,R27,R28,R30,R31,R32,R48,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77",C25741
20p,0402,"C3,C4",C1554
2.2n,0402,"C27,C29,C31,C32,C35",C1531
1N5819HWdiode,SOD123,"D1,D2",C117948
Ceradiode,0603,"C36,C37,C38,C39,C40,C42",C76588
100,0402,"R5,R7,R8,R9,R10,R11",C25076
1.0k,0402,"R54,R55,R56,R57,R58,R59",C11702
1.0k,0603,"R34,R35,R36,R37,R38,R39",C21190
CD40518-1multiplexer,TSSOP16,"IC3,IC6",C54587
470p,0402,C28,C1537
,0603,"L1,L2,L4,L5",C76814
1u,0402,"C12,C18,C26,C41,C43",C52923
TL074Quadop-amp,TSSOP14,"IC12,IC13,IC14",C96507
100p,0402,"C44,C45,C46,C47,C48,C49",C1546
BAT54SLT1Gdiode,SOT23,D9,C19726
22u,1206,"C1,C2,C5,C6,C9,C10,C17,C19,C20,C21,C22,C23,C25",C12891
130k,0402,"R40,R41,R42,R43,R44,R45,R46",C52929
LM4040ShuntVref2.5VCGrade,SOT23,IC11,C44215
15k,0402,"R1,R2,R3,R4,R17,R18",C25756
100n,0402,"C7,C8,C11,C13,C14,C15,C16,C24,C30,C33,C34,C50,C51,C52,C53,C54,C55",C307331
20k,0402,"R13,R14,R15,R16,R19,R20,R47,R49,R50,R51,R52,R53",C25765
30k,0402,"R21,R22,R23,R24,R26,R29",C25776
1N4148silicondiode,SOD523,"D3,D4,D5,D6,D7,D8",C68948
10k,0402,"R6,R12,R33,R60,R61,R62,R63,R64,R65",C25744
