型号,封装,位号,元件编号
100k,0402,"R15,R16,R17,R29,R30,R35,R36,R54,R55",C25741
20p,0402,"C4,C11",C1554
"LM4040ShuntVrefCgrade(0.5%,100ppm)10V",SOT23,IC10,C201738
CD40518-1multiplexer,TSSOP16,IC2,C54587
">=1kohm,300mA",0603,"L2,L3,L4",C76814
1u,0402,"C1,C12,C13,C16,C18,C21,C42",C52923
BAT54SLT1Gdiode,SOT23,D2,C19726
100n,0402,"C2,C3,C5,C6,C7,C8,C14,C15,C17,C22,C23,C30,C33,C34,C35,C43,C44,C45,C48,C49,C51,C52,C53,C54,C55",C307331
1.5k,0402,"R2,R6,R10,R46",C25867
20k,0402,"R18,R19,R27,R31,R32,R33,R34,R41,R52",C25765
10k,0402,"R3,R61,R62,R63",C25744
120k,0402,"R20,R21,R25,R43,R51",C25750
1N5819HWdiode,SOD123,"D1,D3",C117948
Ceradiode,0603,"D4,D5,D6,D7,D8,D9,D10,D11",C76588
100,0402,"R4,R5,R8,R9",C25076
1.0k,0402,"R64,R65,R66,R67",C11702
33u,0805,L1,C18101
1.0k,0603,"R45,R47,R48,R49",C21190
100p,0402,"C27,C31,C36",C1546
47p,0402,"C37,C38,C39,C40",C1567
1n,0402,"C28,C32,C41,C46,C47,C56",C1523
22u,1206,"C19,C20,C25",C12891
130k,0402,"R14,R28,R37,R38,R39,R40,R42",C52929
"STM32F373CCT6,CortexM4256kflash",LQFP48,IC1,C89403
2.2k,0402,"R1,R7,R13",C25879
33k,0402,R53,C25779
140k,0402,R50,C270645
