Designator,Mid X,Mid Y,Layer,Rotation,Comment
C1,30.16mm,101.28mm,T,0,1u
C10,57.47mm,92.39mm,T,90,10u
C11,23.49mm,91.60mm,T,0,20p
C12,26.04mm,91.28mm,T,180,1u
C13,37.70mm,90.17mm,T,0,1u
C14,37.70mm,89.22mm,T,0,100n
C15,32.07mm,87.31mm,T,270,100n
C16,30.48mm,86.99mm,T,270,1u
C17,44.77mm,85.41mm,T,0,100n
C18,44.61mm,83.82mm,T,0,1u
C19,62.55mm,82.87mm,T,180,22u
C2,38.10mm,100.97mm,T,180,100n
C20,62.55mm,80.33mm,T,180,22u
C21,44.61mm,79.53mm,T,0,1u
C22,14.92mm,74.93mm,T,180,100n
C23,51.43mm,74.93mm,T,180,100n
C24,56.20mm,71.76mm,T,90,22u
C25,49.53mm,70.17mm,T,0,22u
C26,56.20mm,65.72mm,T,90,22u
C27,19.84mm,63.66mm,T,0,100p
C28,25.88mm,63.66mm,T,180,1.0n
C29,49.53mm,61.28mm,T,0,10u
C3,30.16mm,100.17mm,T,0,100n
C30,17.94mm,60.33mm,T,180,100n
C31,19.84mm,57.15mm,T,0,100p
C32,25.88mm,57.15mm,T,180,1.0n
C33,50.16mm,53.34mm,T,270,100n
C34,41.59mm,53.18mm,T,270,100n
C35,33.97mm,52.71mm,T,180,100n
C36,19.84mm,51.75mm,T,0,100p
C37,39.85mm,51.75mm,T,180,47p
C38,43.34mm,51.75mm,T,0,47p
C39,48.42mm,51.75mm,T,180,47p
C4,22.22mm,99.38mm,T,180,20p
C40,51.91mm,51.75mm,T,0,47p
C41,25.88mm,51.75mm,T,180,1.0n
C42,32.86mm,49.21mm,T,0,1u
C43,17.94mm,48.58mm,T,180,100n
C44,10.16mm,47.63mm,T,180,100n
C45,57.79mm,47.63mm,T,180,100n
C46,19.84mm,45.40mm,T,0,1.0n
C47,25.88mm,45.40mm,T,180,1.0n
C48,50.16mm,43.18mm,T,0,100n
C49,41.59mm,42.55mm,T,270,100n
C5,17.30mm,96.04mm,T,0,100n
