型号,封装,位号,元件编号
100k,0402,"R6,R7,R8,R9",C25741
1.2k,0402,"R90,R91,R92,R93",C25862
2.0k,0402,"R1,R2,R3,R4",C4109
510,0402,"R39,R40,R41,R42,R43,R44,R49,R50,R69",C25123
TexasInstrumentsLM4040C10IDBZR,SOT23,IC8,C201738
680k,0402,"R33,R34",C163456
EMIFilterBead,0603,"L1,L2",C76814
2.54mm2x5P立贴方针,"SMD,P=2.54mm",JP1,C124391
V2164M,SOIC16,"IC4,IC5",C2938398
5.6k,0402,"R22,R23,R56",C25908
5.1k,0402,"R24,R25,R26,R27,R28,R29,R30,R53,R54,R55,R57,R58,R59,R60",C25905
1N5819HWdiode,SOD123,"D1,D2",C82544
100n,0402,"C2,C3,C4,C5,C10,C11,C12,C13,C18,C19,C26,C29,C34,C37,C38,C39,C47,C48,C49,C50",C307331
510,0603,"R94,R95,R96,R97",C543964
20M,0402,"R18,R19,R20,R21",C477671
120k,0402,"R14,R15,R16,R17",C25750
TexasInstrumentsLM324PWR,TSSOP14,"IC9,IC10",C7942
1.0M,0402,"R65,R66,R67,R68,R70,R71,R72,R73,R74,R75,R76,R77,R82,R83,R84,R85,R86,R87,R88,R89",C26083
2.2u,0603,"C1,C42,C43,C44,C45,C46",C162273
100p,0402,"C8,C9,C14,C15,C16,C17,C30,C31,C32,C33,C40,C41",C1546
560p,0402,"C20,C21,C22,C23,C24,C25,C27,C28",C318606
22u,1206,"C6,C7,C35,C36",C12891
Littelfuse1206L035/16YR,1206,P1,C126817
24.9k,0402,"R5,R10,R11,R12,R13,R61,R62,R63,R64,R78,R79,R80,R81",C226371
TexasInstrumentsLM4040C25IDBZR,SOT23,IC1,C44215
1N4148silicondiode,SOD523,"D3,D4,D5,D6",C232841
49.9k,0402,"R31,R32,R35,R36,R37,R38,R45,R46,R47,R48,R51,R52",C25897
TexasinstrumentsOPA1679IPWR,TSSOP14,"IC2,IC3,IC6,IC7",C2057264
