Designator,Mid X,Mid Y,Rotation,Layer,Comment
C1,18.34mm,90.81mm,180,T,2.2u
C10,5.08mm,68.9mm,180,T,100n
C11,23.81mm,68.9mm,180,T,100n
C12,15.4mm,68.58mm,180,T,100n
C13,34.45mm,68.58mm,180,T,100n
C14,14.76mm,66.99mm,270,T,100p
C15,33.65mm,66.99mm,270,T,100p
C16,6.67mm,66.68mm,270,T,100p
C17,25.4mm,66.68mm,270,T,100p
C18,16.99mm,65.09mm,0,T,100n
C19,35.72mm,65.09mm,0,T,100n
C2,6.99mm,82.07mm,0,T,100n
C20,3.97mm,62.39mm,270,T,560p
C21,22.7mm,62.39mm,270,T,560p
C22,16.67mm,61.28mm,180,T,560p
C23,35.4mm,61.28mm,180,T,560p
C24,16.67mm,60.01mm,180,T,560p
C25,35.4mm,60.01mm,180,T,560p
C26,15.72mm,56.2mm,180,T,100n
C27,24.29mm,56.2mm,0,T,560p
C28,5.56mm,56.2mm,0,T,560p
C29,34.45mm,56.2mm,180,T,100n
C3,31.59mm,82.07mm,0,T,100n
C30,6.67mm,53.98mm,90,T,100p
C31,33.34mm,53.98mm,90,T,100p
C32,14.61mm,53.98mm,90,T,100p
C33,25.4mm,53.98mm,90,T,100p
C34,24.29mm,52.07mm,270,T,100n
C35,41.27mm,52.07mm,270,T,22u
C36,43.5mm,52.07mm,270,T,22u
C37,5.56mm,52.07mm,270,T,100n
C38,15.08mm,51.75mm,90,T,100n
C39,34.45mm,51.75mm,90,T,100n
C4,43.97mm,82.07mm,0,T,100n
C40,26.35mm,49.37mm,0,T,100p
C41,7.62mm,49.37mm,0,T,100p
C42,23.34mm,39.37mm,180,T,2.2u
C43,8.89mm,27.94mm,90,T,2.2u
C44,15.56mm,27.94mm,270,T,2.2u
C45,33.5mm,27.94mm,90,T,2.2u
C46,40.16mm,27.94mm,270,T,2.2u
C47,16.03mm,25.24mm,90,T,100n
C48,33.18mm,25.24mm,270,T,100n
C49,40.64mm,25.24mm,90,T,100n
C5,19.21mm,82.07mm,0,T,100n
C50,8.57mm,25.24mm,270,T,100n
C6,40.32mm,71.76mm,270,T,22u
C7,42.54mm,71.76mm,270,T,22u
C8,13.97mm,71.44mm,180,T,100p
C9,32.7mm,71.36mm,180,T,100p
D1,38.1mm,71.12mm,270,T,1N5819HW
D2,46.99mm,51.75mm,90,T,1N5819HW
D3,9.58mm,32.23mm,0,T,1N4148
D4,14.87mm,32.23mm,180,T,1N4148
D5,34.18mm,32.23mm,0,T,1N4148
D6,39.48mm,32.23mm,180,T,1N4148
IC1,18.34mm,88.27mm,0,T,LM4040B25
IC10,36.83mm,27.3mm,0,T,LM324PW
IC2,10.64mm,68.58mm,270,T,OPA1679
IC3,29.37mm,68.58mm,270,T,OPA1679
IC4,10.64mm,60.64mm,270,T,V2164SZ
IC5,29.37mm,60.64mm,270,T,V2164SZ
IC6,10.64mm,52.39mm,270,T,OPA1679
IC7,29.37mm,52.39mm,270,T,OPA1679
IC8,23.18mm,36.35mm,180,T,LM4040B10
IC9,12.22mm,27.3mm,0,T,LM324PW
JP1,43.18mm,61.6mm,180,T,M05X2SMD
L1,44.45mm,72.61mm,90,T,742792664
L2,45.4mm,50.58mm,270,T,742792664
P1,46.35mm,72.07mm,270,T, PTCSMD
R1,6.03mm,96.52mm,0,T,2.0k
R10,19.05mm,84.46mm,180,T,24.9k
R11,6.99mm,84.3mm,180,T,24.9k
R12,31.59mm,84.3mm,180,T,24.9k
R13,43.97mm,84.3mm,180,T,24.9k
R14,30.48mm,83.19mm,0,T,120k
R15,42.86mm,83.19mm,0,T,120k
R16,18.1mm,83.19mm,0,T,120k
R17,5.87mm,83.18mm,0,T,120k
R18,4.76mm,82.07mm,180,T,20M
R19,16.99mm,82.07mm,180,T,20M
R2,18.26mm,96.52mm,0,T,2.0k
R20,29.37mm,82.07mm,180,T,20M
R21,41.75mm,82.07mm,180,T,20M
